households_served,total,population,start_date,end_date,question,household_type,count
Total Households,356,all_households,2017-12-01,2017-12-31,Q8a,with_only_children,1
Total Households,356,all_households,2017-12-01,2017-12-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,83,all_households,2017-12-01,2017-12-31,Q8a,without_children,65
For PSH and RRH - the total persons served who moved into housing,83,all_households,2017-12-01,2017-12-31,Q8a,with_children_and_adults,18
For PSH and RRH - the total persons served who moved into housing,83,all_households,2017-12-01,2017-12-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,83,all_households,2017-12-01,2017-12-31,Q8a,unknown_household_type,0
Total Households,355,all_households,2018-01-01,2018-01-31,Q8a,without_children,292
Total Households,355,all_households,2018-01-01,2018-01-31,Q8a,with_children_and_adults,62
Total Households,355,all_households,2018-01-01,2018-01-31,Q8a,with_only_children,1
Total Households,355,all_households,2018-01-01,2018-01-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,85,all_households,2018-01-01,2018-01-31,Q8a,without_children,66
For PSH and RRH - the total persons served who moved into housing,85,all_households,2018-01-01,2018-01-31,Q8a,with_children_and_adults,19
For PSH and RRH - the total persons served who moved into housing,85,all_households,2018-01-01,2018-01-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,85,all_households,2018-01-01,2018-01-31,Q8a,unknown_household_type,0
Total Households,367,all_households,2018-02-01,2018-02-28,Q8a,without_children,301
Total Households,367,all_households,2018-02-01,2018-02-28,Q8a,with_children_and_adults,64
Total Households,367,all_households,2018-02-01,2018-02-28,Q8a,with_only_children,2
Total Households,367,all_households,2018-02-01,2018-02-28,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,91,all_households,2018-02-01,2018-02-28,Q8a,without_children,72
For PSH and RRH - the total persons served who moved into housing,91,all_households,2018-02-01,2018-02-28,Q8a,with_children_and_adults,19
For PSH and RRH - the total persons served who moved into housing,91,all_households,2018-02-01,2018-02-28,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,91,all_households,2018-02-01,2018-02-28,Q8a,unknown_household_type,0
Total Households,372,all_households,2018-03-01,2018-03-31,Q8a,without_children,310
Total Households,372,all_households,2018-03-01,2018-03-31,Q8a,with_children_and_adults,60
Total Households,372,all_households,2018-03-01,2018-03-31,Q8a,with_only_children,2
Total Households,372,all_households,2018-03-01,2018-03-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,90,all_households,2018-03-01,2018-03-31,Q8a,without_children,74
For PSH and RRH - the total persons served who moved into housing,90,all_households,2018-03-01,2018-03-31,Q8a,with_children_and_adults,16
For PSH and RRH - the total persons served who moved into housing,90,all_households,2018-03-01,2018-03-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,90,all_households,2018-03-01,2018-03-31,Q8a,unknown_household_type,0
Total Households,342,all_households,2018-04-01,2018-04-30,Q8a,without_children,285
Total Households,342,all_households,2018-04-01,2018-04-30,Q8a,with_children_and_adults,56
Total Households,342,all_households,2018-04-01,2018-04-30,Q8a,with_only_children,1
Total Households,342,all_households,2018-04-01,2018-04-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,96,all_households,2018-04-01,2018-04-30,Q8a,without_children,80
For PSH and RRH - the total persons served who moved into housing,96,all_households,2018-04-01,2018-04-30,Q8a,with_children_and_adults,16
For PSH and RRH - the total persons served who moved into housing,96,all_households,2018-04-01,2018-04-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,96,all_households,2018-04-01,2018-04-30,Q8a,unknown_household_type,0
Total Households,319,all_households,2018-05-01,2018-05-31,Q8a,without_children,238
Total Households,319,all_households,2018-05-01,2018-05-31,Q8a,with_children_and_adults,80
Total Households,319,all_households,2018-05-01,2018-05-31,Q8a,with_only_children,1
Total Households,319,all_households,2018-05-01,2018-05-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,96,all_households,2018-05-01,2018-05-31,Q8a,without_children,75
For PSH and RRH - the total persons served who moved into housing,96,all_households,2018-05-01,2018-05-31,Q8a,with_children_and_adults,21
For PSH and RRH - the total persons served who moved into housing,96,all_households,2018-05-01,2018-05-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,96,all_households,2018-05-01,2018-05-31,Q8a,unknown_household_type,0
Total Households,305,all_households,2018-06-01,2018-06-30,Q8a,without_children,230
Total Households,305,all_households,2018-06-01,2018-06-30,Q8a,with_children_and_adults,74
Total Households,305,all_households,2018-06-01,2018-06-30,Q8a,with_only_children,1
Total Households,305,all_households,2018-06-01,2018-06-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,97,all_households,2018-06-01,2018-06-30,Q8a,without_children,75
For PSH and RRH - the total persons served who moved into housing,97,all_households,2018-06-01,2018-06-30,Q8a,with_children_and_adults,22
For PSH and RRH - the total persons served who moved into housing,97,all_households,2018-06-01,2018-06-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,97,all_households,2018-06-01,2018-06-30,Q8a,unknown_household_type,0
Total Households,278,all_households,2018-07-01,2018-07-31,Q8a,without_children,207
Total Households,278,all_households,2018-07-01,2018-07-31,Q8a,with_children_and_adults,70
Total Households,278,all_households,2018-07-01,2018-07-31,Q8a,with_only_children,1
Total Households,278,all_households,2018-07-01,2018-07-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,101,all_households,2018-07-01,2018-07-31,Q8a,without_children,77
For PSH and RRH - the total persons served who moved into housing,101,all_households,2018-07-01,2018-07-31,Q8a,with_children_and_adults,24
For PSH and RRH - the total persons served who moved into housing,101,all_households,2018-07-01,2018-07-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,101,all_households,2018-07-01,2018-07-31,Q8a,unknown_household_type,0
Total Households,295,all_households,2018-08-01,2018-08-31,Q8a,without_children,218
Total Households,295,all_households,2018-08-01,2018-08-31,Q8a,with_children_and_adults,76
Total Households,295,all_households,2018-08-01,2018-08-31,Q8a,with_only_children,1
Total Households,295,all_households,2018-08-01,2018-08-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,99,all_households,2018-08-01,2018-08-31,Q8a,without_children,80
For PSH and RRH - the total persons served who moved into housing,99,all_households,2018-08-01,2018-08-31,Q8a,with_children_and_adults,19
For PSH and RRH - the total persons served who moved into housing,99,all_households,2018-08-01,2018-08-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,99,all_households,2018-08-01,2018-08-31,Q8a,unknown_household_type,0
Total Households,294,all_households,2018-09-01,2018-09-30,Q8a,without_children,211
Total Households,294,all_households,2018-09-01,2018-09-30,Q8a,with_children_and_adults,82
Total Households,294,all_households,2018-09-01,2018-09-30,Q8a,with_only_children,1
Total Households,294,all_households,2018-09-01,2018-09-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,103,all_households,2018-09-01,2018-09-30,Q8a,without_children,83
For PSH and RRH - the total persons served who moved into housing,103,all_households,2018-09-01,2018-09-30,Q8a,with_children_and_adults,20
For PSH and RRH - the total persons served who moved into housing,103,all_households,2018-09-01,2018-09-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,103,all_households,2018-09-01,2018-09-30,Q8a,unknown_household_type,0
Total Households,313,all_households,2018-10-01,2018-10-31,Q8a,without_children,225
Total Households,313,all_households,2018-10-01,2018-10-31,Q8a,with_children_and_adults,87
Total Households,313,all_households,2018-10-01,2018-10-31,Q8a,with_only_children,1
Total Households,313,all_households,2018-10-01,2018-10-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,101,all_households,2018-10-01,2018-10-31,Q8a,without_children,83
For PSH and RRH - the total persons served who moved into housing,101,all_households,2018-10-01,2018-10-31,Q8a,with_children_and_adults,18
For PSH and RRH - the total persons served who moved into housing,101,all_households,2018-10-01,2018-10-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,101,all_households,2018-10-01,2018-10-31,Q8a,unknown_household_type,0
Total Households,373,all_households,2018-11-01,2018-11-30,Q8a,without_children,289
Total Households,373,all_households,2018-11-01,2018-11-30,Q8a,with_children_and_adults,84
Total Households,373,all_households,2018-11-01,2018-11-30,Q8a,with_only_children,0
Total Households,373,all_households,2018-11-01,2018-11-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,110,all_households,2018-11-01,2018-11-30,Q8a,without_children,87
For PSH and RRH - the total persons served who moved into housing,110,all_households,2018-11-01,2018-11-30,Q8a,with_children_and_adults,23
For PSH and RRH - the total persons served who moved into housing,110,all_households,2018-11-01,2018-11-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,110,all_households,2018-11-01,2018-11-30,Q8a,unknown_household_type,0
Total Households,461,all_households,2018-12-01,2018-12-31,Q8a,without_children,369
Total Households,461,all_households,2018-12-01,2018-12-31,Q8a,with_children_and_adults,92
Total Households,461,all_households,2018-12-01,2018-12-31,Q8a,with_only_children,0
Total Households,461,all_households,2018-12-01,2018-12-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,106,all_households,2018-12-01,2018-12-31,Q8a,without_children,83
For PSH and RRH - the total persons served who moved into housing,106,all_households,2018-12-01,2018-12-31,Q8a,with_children_and_adults,23
For PSH and RRH - the total persons served who moved into housing,106,all_households,2018-12-01,2018-12-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,106,all_households,2018-12-01,2018-12-31,Q8a,unknown_household_type,0
Total Households,563,all_households,2019-01-01,2019-01-31,Q8a,without_children,470
Total Households,563,all_households,2019-01-01,2019-01-31,Q8a,with_children_and_adults,93
Total Households,563,all_households,2019-01-01,2019-01-31,Q8a,with_only_children,0
Total Households,563,all_households,2019-01-01,2019-01-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,110,all_households,2019-01-01,2019-01-31,Q8a,without_children,82
For PSH and RRH - the total persons served who moved into housing,110,all_households,2019-01-01,2019-01-31,Q8a,with_children_and_adults,28
For PSH and RRH - the total persons served who moved into housing,110,all_households,2019-01-01,2019-01-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,110,all_households,2019-01-01,2019-01-31,Q8a,unknown_household_type,0
Total Households,625,all_households,2019-02-01,2019-02-28,Q8a,without_children,522
Total Households,625,all_households,2019-02-01,2019-02-28,Q8a,with_children_and_adults,102
Total Households,625,all_households,2019-02-01,2019-02-28,Q8a,with_only_children,0
Total Households,625,all_households,2019-02-01,2019-02-28,Q8a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,113,all_households,2019-02-01,2019-02-28,Q8a,without_children,83
For PSH and RRH - the total persons served who moved into housing,113,all_households,2019-02-01,2019-02-28,Q8a,with_children_and_adults,30
For PSH and RRH - the total persons served who moved into housing,113,all_households,2019-02-01,2019-02-28,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,113,all_households,2019-02-01,2019-02-28,Q8a,unknown_household_type,0
Total Households,604,all_households,2019-03-01,2019-03-31,Q8a,without_children,510
Total Households,604,all_households,2019-03-01,2019-03-31,Q8a,with_children_and_adults,93
Total Households,604,all_households,2019-03-01,2019-03-31,Q8a,with_only_children,0
Total Households,604,all_households,2019-03-01,2019-03-31,Q8a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,109,all_households,2019-03-01,2019-03-31,Q8a,without_children,83
For PSH and RRH - the total persons served who moved into housing,109,all_households,2019-03-01,2019-03-31,Q8a,with_children_and_adults,26
For PSH and RRH - the total persons served who moved into housing,109,all_households,2019-03-01,2019-03-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,109,all_households,2019-03-01,2019-03-31,Q8a,unknown_household_type,0
Total Households,622,all_households,2019-04-01,2019-04-30,Q8a,without_children,533
Total Households,622,all_households,2019-04-01,2019-04-30,Q8a,with_children_and_adults,88
Total Households,622,all_households,2019-04-01,2019-04-30,Q8a,with_only_children,0
Total Households,622,all_households,2019-04-01,2019-04-30,Q8a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,105,all_households,2019-04-01,2019-04-30,Q8a,without_children,78
For PSH and RRH - the total persons served who moved into housing,105,all_households,2019-04-01,2019-04-30,Q8a,with_children_and_adults,27
For PSH and RRH - the total persons served who moved into housing,105,all_households,2019-04-01,2019-04-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,105,all_households,2019-04-01,2019-04-30,Q8a,unknown_household_type,0
Total Households,607,all_households,2019-05-01,2019-05-31,Q8a,without_children,513
Total Households,607,all_households,2019-05-01,2019-05-31,Q8a,with_children_and_adults,93
Total Households,607,all_households,2019-05-01,2019-05-31,Q8a,with_only_children,0
Total Households,607,all_households,2019-05-01,2019-05-31,Q8a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,102,all_households,2019-05-01,2019-05-31,Q8a,without_children,80
For PSH and RRH - the total persons served who moved into housing,102,all_households,2019-05-01,2019-05-31,Q8a,with_children_and_adults,22
For PSH and RRH - the total persons served who moved into housing,102,all_households,2019-05-01,2019-05-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,102,all_households,2019-05-01,2019-05-31,Q8a,unknown_household_type,0
Total Households,609,all_households,2019-06-01,2019-06-30,Q8a,without_children,512
Total Households,609,all_households,2019-06-01,2019-06-30,Q8a,with_children_and_adults,97
Total Households,609,all_households,2019-06-01,2019-06-30,Q8a,with_only_children,0
Total Households,609,all_households,2019-06-01,2019-06-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,100,all_households,2019-06-01,2019-06-30,Q8a,without_children,78
For PSH and RRH - the total persons served who moved into housing,100,all_households,2019-06-01,2019-06-30,Q8a,with_children_and_adults,22
For PSH and RRH - the total persons served who moved into housing,100,all_households,2019-06-01,2019-06-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,100,all_households,2019-06-01,2019-06-30,Q8a,unknown_household_type,0
Total Households,663,all_households,2019-07-01,2019-07-31,Q8a,without_children,524
Total Households,663,all_households,2019-07-01,2019-07-31,Q8a,with_children_and_adults,138
Total Households,663,all_households,2019-07-01,2019-07-31,Q8a,with_only_children,0
Total Households,663,all_households,2019-07-01,2019-07-31,Q8a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,98,all_households,2019-07-01,2019-07-31,Q8a,without_children,79
For PSH and RRH - the total persons served who moved into housing,98,all_households,2019-07-01,2019-07-31,Q8a,with_children_and_adults,19
For PSH and RRH - the total persons served who moved into housing,98,all_households,2019-07-01,2019-07-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,98,all_households,2019-07-01,2019-07-31,Q8a,unknown_household_type,0
Total Households,675,all_households,2019-08-01,2019-08-31,Q8a,without_children,506
Total Households,675,all_households,2019-08-01,2019-08-31,Q8a,with_children_and_adults,168
Total Households,675,all_households,2019-08-01,2019-08-31,Q8a,with_only_children,0
Total Households,675,all_households,2019-08-01,2019-08-31,Q8a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,103,all_households,2019-08-01,2019-08-31,Q8a,without_children,82
For PSH and RRH - the total persons served who moved into housing,103,all_households,2019-08-01,2019-08-31,Q8a,with_children_and_adults,21
For PSH and RRH - the total persons served who moved into housing,103,all_households,2019-08-01,2019-08-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,103,all_households,2019-08-01,2019-08-31,Q8a,unknown_household_type,0
Total Households,672,all_households,2019-09-01,2019-09-30,Q8a,without_children,527
Total Households,672,all_households,2019-09-01,2019-09-30,Q8a,with_children_and_adults,144
Total Households,672,all_households,2019-09-01,2019-09-30,Q8a,with_only_children,0
Total Households,672,all_households,2019-09-01,2019-09-30,Q8a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,100,all_households,2019-09-01,2019-09-30,Q8a,without_children,81
For PSH and RRH - the total persons served who moved into housing,100,all_households,2019-09-01,2019-09-30,Q8a,with_children_and_adults,19
For PSH and RRH - the total persons served who moved into housing,100,all_households,2019-09-01,2019-09-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,100,all_households,2019-09-01,2019-09-30,Q8a,unknown_household_type,0
Total Households,696,all_households,2019-10-01,2019-10-31,Q8a,without_children,559
Total Households,696,all_households,2019-10-01,2019-10-31,Q8a,with_children_and_adults,133
Total Households,696,all_households,2019-10-01,2019-10-31,Q8a,with_only_children,0
Total Households,696,all_households,2019-10-01,2019-10-31,Q8a,unknown_household_type,4
For PSH and RRH - the total persons served who moved into housing,95,all_households,2019-10-01,2019-10-31,Q8a,without_children,79
For PSH and RRH - the total persons served who moved into housing,95,all_households,2019-10-01,2019-10-31,Q8a,with_children_and_adults,16
For PSH and RRH - the total persons served who moved into housing,95,all_households,2019-10-01,2019-10-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,95,all_households,2019-10-01,2019-10-31,Q8a,unknown_household_type,0
Total Households,700,all_households,2019-11-01,2019-11-30,Q8a,without_children,571
Total Households,700,all_households,2019-11-01,2019-11-30,Q8a,with_children_and_adults,126
Total Households,700,all_households,2019-11-01,2019-11-30,Q8a,with_only_children,0
Total Households,700,all_households,2019-11-01,2019-11-30,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,89,all_households,2019-11-01,2019-11-30,Q8a,without_children,75
For PSH and RRH - the total persons served who moved into housing,89,all_households,2019-11-01,2019-11-30,Q8a,with_children_and_adults,14
For PSH and RRH - the total persons served who moved into housing,89,all_households,2019-11-01,2019-11-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,89,all_households,2019-11-01,2019-11-30,Q8a,unknown_household_type,0
Total Households,721,all_households,2019-12-01,2019-12-31,Q8a,without_children,578
Total Households,721,all_households,2019-12-01,2019-12-31,Q8a,with_children_and_adults,140
Total Households,721,all_households,2019-12-01,2019-12-31,Q8a,with_only_children,0
Total Households,721,all_households,2019-12-01,2019-12-31,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,93,all_households,2019-12-01,2019-12-31,Q8a,without_children,79
For PSH and RRH - the total persons served who moved into housing,93,all_households,2019-12-01,2019-12-31,Q8a,with_children_and_adults,14
For PSH and RRH - the total persons served who moved into housing,93,all_households,2019-12-01,2019-12-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,93,all_households,2019-12-01,2019-12-31,Q8a,unknown_household_type,0
Total Households,764,all_households,2020-01-01,2020-01-31,Q8a,without_children,633
Total Households,764,all_households,2020-01-01,2020-01-31,Q8a,with_children_and_adults,128
Total Households,764,all_households,2020-01-01,2020-01-31,Q8a,with_only_children,0
Total Households,764,all_households,2020-01-01,2020-01-31,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,99,all_households,2020-01-01,2020-01-31,Q8a,without_children,83
For PSH and RRH - the total persons served who moved into housing,99,all_households,2020-01-01,2020-01-31,Q8a,with_children_and_adults,16
For PSH and RRH - the total persons served who moved into housing,99,all_households,2020-01-01,2020-01-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,99,all_households,2020-01-01,2020-01-31,Q8a,unknown_household_type,0
Total Households,739,all_households,2020-02-01,2020-02-29,Q8a,without_children,615
Total Households,739,all_households,2020-02-01,2020-02-29,Q8a,with_children_and_adults,121
Total Households,739,all_households,2020-02-01,2020-02-29,Q8a,with_only_children,0
Total Households,739,all_households,2020-02-01,2020-02-29,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-02-01,2020-02-29,Q8a,without_children,73
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-02-01,2020-02-29,Q8a,with_children_and_adults,16
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-02-01,2020-02-29,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-02-01,2020-02-29,Q8a,unknown_household_type,0
Total Households,692,all_households,2020-03-01,2020-03-31,Q8a,without_children,590
Total Households,692,all_households,2020-03-01,2020-03-31,Q8a,with_children_and_adults,99
Total Households,692,all_households,2020-03-01,2020-03-31,Q8a,with_only_children,0
Total Households,692,all_households,2020-03-01,2020-03-31,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,95,all_households,2020-03-01,2020-03-31,Q8a,without_children,79
For PSH and RRH - the total persons served who moved into housing,95,all_households,2020-03-01,2020-03-31,Q8a,with_children_and_adults,16
For PSH and RRH - the total persons served who moved into housing,95,all_households,2020-03-01,2020-03-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,95,all_households,2020-03-01,2020-03-31,Q8a,unknown_household_type,0
Total Households,683,all_households,2020-04-01,2020-04-30,Q8a,without_children,590
Total Households,683,all_households,2020-04-01,2020-04-30,Q8a,with_children_and_adults,90
Total Households,683,all_households,2020-04-01,2020-04-30,Q8a,with_only_children,0
Total Households,683,all_households,2020-04-01,2020-04-30,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,92,all_households,2020-04-01,2020-04-30,Q8a,without_children,79
For PSH and RRH - the total persons served who moved into housing,92,all_households,2020-04-01,2020-04-30,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,92,all_households,2020-04-01,2020-04-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,92,all_households,2020-04-01,2020-04-30,Q8a,unknown_household_type,0
Total Households,680,all_households,2020-05-01,2020-05-31,Q8a,without_children,589
Total Households,680,all_households,2020-05-01,2020-05-31,Q8a,with_children_and_adults,89
Total Households,680,all_households,2020-05-01,2020-05-31,Q8a,with_only_children,0
Total Households,680,all_households,2020-05-01,2020-05-31,Q8a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-05-01,2020-05-31,Q8a,without_children,79
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-05-01,2020-05-31,Q8a,with_children_and_adults,10
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-05-01,2020-05-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-05-01,2020-05-31,Q8a,unknown_household_type,0
Total Households,693,all_households,2020-06-01,2020-06-30,Q8a,without_children,602
Total Households,693,all_households,2020-06-01,2020-06-30,Q8a,with_children_and_adults,89
Total Households,693,all_households,2020-06-01,2020-06-30,Q8a,with_only_children,0
Total Households,693,all_households,2020-06-01,2020-06-30,Q8a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-06-01,2020-06-30,Q8a,without_children,78
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-06-01,2020-06-30,Q8a,with_children_and_adults,11
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-06-01,2020-06-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,89,all_households,2020-06-01,2020-06-30,Q8a,unknown_household_type,0
Total Households,660,all_households,2020-07-01,2020-07-31,Q8a,without_children,565
Total Households,660,all_households,2020-07-01,2020-07-31,Q8a,with_children_and_adults,93
Total Households,660,all_households,2020-07-01,2020-07-31,Q8a,with_only_children,0
Total Households,660,all_households,2020-07-01,2020-07-31,Q8a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,96,all_households,2020-07-01,2020-07-31,Q8a,without_children,82
For PSH and RRH - the total persons served who moved into housing,96,all_households,2020-07-01,2020-07-31,Q8a,with_children_and_adults,14
For PSH and RRH - the total persons served who moved into housing,96,all_households,2020-07-01,2020-07-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,96,all_households,2020-07-01,2020-07-31,Q8a,unknown_household_type,0
Total Households,661,all_households,2020-08-01,2020-08-31,Q8a,without_children,569
Total Households,661,all_households,2020-08-01,2020-08-31,Q8a,with_children_and_adults,90
Total Households,661,all_households,2020-08-01,2020-08-31,Q8a,with_only_children,0
Total Households,661,all_households,2020-08-01,2020-08-31,Q8a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,94,all_households,2020-08-01,2020-08-31,Q8a,without_children,80
For PSH and RRH - the total persons served who moved into housing,94,all_households,2020-08-01,2020-08-31,Q8a,with_children_and_adults,14
For PSH and RRH - the total persons served who moved into housing,94,all_households,2020-08-01,2020-08-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,94,all_households,2020-08-01,2020-08-31,Q8a,unknown_household_type,0
Total Households,685,all_households,2020-09-01,2020-09-30,Q8a,without_children,587
Total Households,685,all_households,2020-09-01,2020-09-30,Q8a,with_children_and_adults,96
Total Households,685,all_households,2020-09-01,2020-09-30,Q8a,with_only_children,0
Total Households,685,all_households,2020-09-01,2020-09-30,Q8a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,97,all_households,2020-09-01,2020-09-30,Q8a,without_children,82
For PSH and RRH - the total persons served who moved into housing,97,all_households,2020-09-01,2020-09-30,Q8a,with_children_and_adults,15
For PSH and RRH - the total persons served who moved into housing,97,all_households,2020-09-01,2020-09-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,97,all_households,2020-09-01,2020-09-30,Q8a,unknown_household_type,0
Total Households,720,all_households,2020-10-01,2020-10-31,Q8a,without_children,620
Total Households,720,all_households,2020-10-01,2020-10-31,Q8a,with_children_and_adults,97
Total Households,720,all_households,2020-10-01,2020-10-31,Q8a,with_only_children,0
Total Households,720,all_households,2020-10-01,2020-10-31,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,95,all_households,2020-10-01,2020-10-31,Q8a,without_children,82
For PSH and RRH - the total persons served who moved into housing,95,all_households,2020-10-01,2020-10-31,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,95,all_households,2020-10-01,2020-10-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,95,all_households,2020-10-01,2020-10-31,Q8a,unknown_household_type,0
Total Households,776,all_households,2020-11-01,2020-11-30,Q8a,without_children,676
Total Households,776,all_households,2020-11-01,2020-11-30,Q8a,with_children_and_adults,97
Total Households,776,all_households,2020-11-01,2020-11-30,Q8a,with_only_children,0
Total Households,776,all_households,2020-11-01,2020-11-30,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,98,all_households,2020-11-01,2020-11-30,Q8a,without_children,87
For PSH and RRH - the total persons served who moved into housing,98,all_households,2020-11-01,2020-11-30,Q8a,with_children_and_adults,11
For PSH and RRH - the total persons served who moved into housing,98,all_households,2020-11-01,2020-11-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,98,all_households,2020-11-01,2020-11-30,Q8a,unknown_household_type,0
Total Households,788,all_households,2020-12-01,2020-12-31,Q8a,without_children,684
Total Households,788,all_households,2020-12-01,2020-12-31,Q8a,with_children_and_adults,101
Total Households,788,all_households,2020-12-01,2020-12-31,Q8a,with_only_children,0
Total Households,788,all_households,2020-12-01,2020-12-31,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,100,all_households,2020-12-01,2020-12-31,Q8a,without_children,87
For PSH and RRH - the total persons served who moved into housing,100,all_households,2020-12-01,2020-12-31,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,100,all_households,2020-12-01,2020-12-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,100,all_households,2020-12-01,2020-12-31,Q8a,unknown_household_type,0
Total Households,817,all_households,2021-01-01,2021-01-31,Q8a,without_children,712
Total Households,817,all_households,2021-01-01,2021-01-31,Q8a,with_children_and_adults,101
Total Households,817,all_households,2021-01-01,2021-01-31,Q8a,with_only_children,0
Total Households,817,all_households,2021-01-01,2021-01-31,Q8a,unknown_household_type,4
For PSH and RRH - the total persons served who moved into housing,95,all_households,2021-01-01,2021-01-31,Q8a,without_children,81
