number_of_youth_by_income_category,population,start_date,end_date,question,status,count
Youth with Client Doesn't Know/Client Refused Income Information,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_start,1
Youth with Missing Income Information,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,17
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,3
Number of Youth Stayers without Required Annual Assessment,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_start,32
Total Youth,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,20
Total Youth,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_exit_leavers,12
1 or More Source of Income,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_start,17
1 or More Source of Income,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_exit_leavers,7
Youth with Income Information at Start and Annual Assessment/Exit,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2016-11-01,2016-11-30,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,12
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,5
Youth with Only Other Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,1
Youth with Only Other Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,2
Youth with Both Earned and Other Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,12
Youth with No Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,5
Youth with Client Doesn't Know/Client Refused Income Information,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,1
Youth with Missing Income Information,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,15
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,3
Number of Youth Stayers without Required Annual Assessment,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,28
Total Youth,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,18
Total Youth,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,10
1 or More Source of Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,15
1 or More Source of Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,5
Youth with Income Information at Start and Annual Assessment/Exit,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2016-12-01,2016-12-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,12
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,6
Youth with Only Other Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,1
Youth with Only Other Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with Both Earned and Other Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,2
Youth with Both Earned and Other Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,9
Youth with No Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,4
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,0
Youth with Missing Income Information,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,12
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,1
Number of Youth Stayers without Required Annual Assessment,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,24
Total Youth,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,13
Total Youth,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,11
1 or More Source of Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,15
1 or More Source of Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,7
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-01-01,2017-01-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,9
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,3
Youth with Only Other Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,0
Youth with Only Other Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,2
Youth with Both Earned and Other Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,1
Youth with No Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,11
Youth with No Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,6
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,1
Youth with Missing Income Information,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,10
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,3
Number of Youth Stayers without Required Annual Assessment,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,23
Total Youth,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,13
Total Youth,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,10
1 or More Source of Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,13
1 or More Source of Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,5
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-02-01,2017-02-28,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,7
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,5
Youth with Only Other Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,1
Youth with Only Other Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with Both Earned and Other Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,10
Youth with No Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,2
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,1
Youth with Missing Income Information,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,9
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,3
Number of Youth Stayers without Required Annual Assessment,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,20
Total Youth,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,12
Total Youth,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,8
1 or More Source of Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,10
1 or More Source of Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,6
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-03-01,2017-03-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,4
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,1
Youth with Only Other Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,0
Youth with Only Other Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,1
Youth with No Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,7
Youth with No Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,1
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,1
Youth with Missing Income Information,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,8
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,2
Number of Youth Stayers without Required Annual Assessment,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,13
Total Youth,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,10
Total Youth,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,3
1 or More Source of Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,6
1 or More Source of Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,2
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-04-01,2017-04-30,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,5
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Only Other Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,0
Youth with Only Other Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,0
Youth with Both Earned and Other Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,7
Youth with No Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,2
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,2
Youth with Missing Income Information,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,8
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,4
Number of Youth Stayers without Required Annual Assessment,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,14
Total Youth,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,12
Total Youth,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,2
1 or More Source of Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,6
1 or More Source of Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2017-05-01,2017-05-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_start,6
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_exit_leavers,1
Youth with Only Other Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_start,1
Youth with Only Other Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_start,5
Youth with No Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_start,2
Youth with Missing Income Information,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,10
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,4
Number of Youth Stayers without Required Annual Assessment,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_start,15
Total Youth,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,14
Total Youth,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_exit_leavers,1
1 or More Source of Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_start,9
1 or More Source of Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2017-06-01,2017-06-30,Q27h,number_of_youth_at_exit_leavers,1
