income_change_by_income_category_universe_adult_stayers_with_income_information_at_start_and_annual_assessment,had_income_category_at_start_and_did_not_have_it_at_annual_assessment,retained_income_category_but_had_less_at_annual_assessment_than_at_start,retained_income_category_and_same_at_annual_assessment_as_at_start,retained_income_category_and_increased_at_annual_assessment,did_not_have_the_income_category_at_start_and_gained_the_income_category_at_annual_assessment,did_not_have_the_income_category_at_start_or_at_annual_assessment,total_adults_including_those_with_no_income,performance_measure_adults_who_gained_or_increased_income_from_start_to_annual_assessment,average_gain,performance_measure_percent_of_persons_who_accomplished_this_measure,population,start_date,end_date,question
Number of Adults with Other Income,2,0,16,7,1,19,47,8,0.17,NA,all_persons,2017-09-01,2017-09-30,Q19a1
Average Change in Other Income,-665,0,0,171,1469,0,0,333.25,0,NA,all_persons,2017-09-01,2017-09-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,21,7,1,12,47,9,0.19,NA,all_persons,2017-09-01,2017-09-30,Q19a1
Average Change in Overall Income,-665,0,0,171,1669,0,120,371.22,0,NA,all_persons,2017-09-01,2017-09-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,5,0,1,39,47,2,0.04,NA,all_persons,2017-10-01,2017-10-31,Q19a1
Average Change in Earned Income,0,0,0,0,200,0,0,337.5,0,NA,all_persons,2017-10-01,2017-10-31,Q19a1
Number of Adults with Other Income,2,0,18,7,1,18,47,8,0.17,NA,all_persons,2017-10-01,2017-10-31,Q19a1
Average Change in Other Income,-665,0,0,665.14,1469,0,0,765.63,0,NA,all_persons,2017-10-01,2017-10-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,23,7,1,11,47,9,0.19,NA,all_persons,2017-10-01,2017-10-31,Q19a1
Average Change in Overall Income,-665,0,0,665.14,1669,0,113,755.56,0,NA,all_persons,2017-10-01,2017-10-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,5,0,1,36,44,2,0.05,NA,all_persons,2017-11-01,2017-11-30,Q19a1
Average Change in Earned Income,0,0,0,0,200,0,0,337.5,0,NA,all_persons,2017-11-01,2017-11-30,Q19a1
Number of Adults with Other Income,1,0,14,9,2,17,44,11,0.25,NA,all_persons,2017-11-01,2017-11-30,Q19a1
Average Change in Other Income,-707,0,0,745,1580.5,0,0,896.91,0,NA,all_persons,2017-11-01,2017-11-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,0,19,9,2,10,44,12,0.27,NA,all_persons,2017-11-01,2017-11-30,Q19a1
Average Change in Overall Income,-707,0,0,745,1680.5,0,219,878.42,0,NA,all_persons,2017-11-01,2017-11-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,5,0,2,37,46,3,0.07,NA,all_persons,2017-12-01,2017-12-31,Q19a1
Average Change in Earned Income,0,0,0,0,436.5,0,0,449.33,0,NA,all_persons,2017-12-01,2017-12-31,Q19a1
Number of Adults with Other Income,2,0,15,8,2,18,46,10,0.22,NA,all_persons,2017-12-01,2017-12-31,Q19a1
Average Change in Other Income,-665,0,0,836.38,1580.5,0,0,985.2,0,NA,all_persons,2017-12-01,2017-12-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,20,8,3,10,46,12,0.26,NA,all_persons,2017-12-01,2017-12-31,Q19a1
Average Change in Overall Income,-665,0,0,836.38,1344.67,0,211,933.33,0,NA,all_persons,2017-12-01,2017-12-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,5,0,1,38,46,2,0.04,NA,all_persons,2018-01-01,2018-01-31,Q19a1
Average Change in Earned Income,0,0,0,0,673,0,0,574,0,NA,all_persons,2018-01-01,2018-01-31,Q19a1
Number of Adults with Other Income,2,0,12,12,2,17,46,14,0.3,NA,all_persons,2018-01-01,2018-01-31,Q19a1
Average Change in Other Income,-665,0,0,747.17,1213.5,0,0,813.79,0,NA,all_persons,2018-01-01,2018-01-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,17,12,3,9,46,16,0.35,NA,all_persons,2018-01-01,2018-01-31,Q19a1
Average Change in Overall Income,-665,0,0,747.17,1033.33,0,240,783.81,0,NA,all_persons,2018-01-01,2018-01-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,5,0,1,38,46,2,0.04,NA,all_persons,2018-02-01,2018-02-28,Q19a1
Average Change in Earned Income,0,0,0,0,673,0,0,574,0,NA,all_persons,2018-02-01,2018-02-28,Q19a1
Number of Adults with Other Income,2,0,12,12,3,16,46,15,0.33,NA,all_persons,2018-02-01,2018-02-28,Q19a1
Average Change in Other Income,-665,0,0,747.17,1066,0,0,810.93,0,NA,all_persons,2018-02-01,2018-02-28,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,17,12,4,8,46,17,0.37,NA,all_persons,2018-02-01,2018-02-28,Q19a1
Average Change in Overall Income,-665,0,0,747.17,967.75,0,257,783.06,0,NA,all_persons,2018-02-01,2018-02-28,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,5,0,1,36,45,2,0.04,NA,all_persons,2018-03-01,2018-03-31,Q19a1
Average Change in Earned Income,-672,0,0,0,578,0,0,526.5,0,NA,all_persons,2018-03-01,2018-03-31,Q19a1
Number of Adults with Other Income,1,1,12,12,3,16,45,15,0.33,NA,all_persons,2018-03-01,2018-03-31,Q19a1
Average Change in Other Income,-623,-1073,0,747.17,1066,0,0,810.93,0,NA,all_persons,2018-03-01,2018-03-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,16,13,3,8,45,17,0.38,NA,all_persons,2018-03-01,2018-03-31,Q19a1
Average Change in Overall Income,-647.5,-1073,0,734.08,1066,0,237,777.41,0,NA,all_persons,2018-03-01,2018-03-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,3,0,1,36,44,2,0.05,NA,all_persons,2018-04-01,2018-04-30,Q19a1
Average Change in Earned Income,-672,0,0,0,578,0,0,526.5,0,NA,all_persons,2018-04-01,2018-04-30,Q19a1
Number of Adults with Other Income,1,2,11,12,3,15,44,15,0.34,NA,all_persons,2018-04-01,2018-04-30,Q19a1
Average Change in Other Income,-623,-748,0,701.67,1066,0,0,774.53,0,NA,all_persons,2018-04-01,2018-04-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,2,13,13,3,8,44,17,0.39,NA,all_persons,2018-04-01,2018-04-30,Q19a1
Average Change in Overall Income,-647.5,-748,0,692.08,1066,0,221,745.29,0,NA,all_persons,2018-04-01,2018-04-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,3,0,1,38,46,2,0.04,NA,all_persons,2018-05-01,2018-05-31,Q19a1
Average Change in Earned Income,-672,0,0,0,578,0,0,974,0,NA,all_persons,2018-05-01,2018-05-31,Q19a1
Number of Adults with Other Income,1,4,9,14,3,15,46,17,0.37,NA,all_persons,2018-05-01,2018-05-31,Q19a1
Average Change in Other Income,-623,-671,0,821.93,1066,0,0,865,0,NA,all_persons,2018-05-01,2018-05-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,4,11,15,3,8,46,19,0.41,NA,all_persons,2018-05-01,2018-05-31,Q19a1
Average Change in Overall Income,-647.5,-671,0,805.6,1066,0,272,876.42,0,NA,all_persons,2018-05-01,2018-05-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,3,0,1,38,46,2,0.04,NA,all_persons,2018-06-01,2018-06-30,Q19a1
Average Change in Earned Income,0,0,0,0,578,0,0,974,0,NA,all_persons,2018-06-01,2018-06-30,Q19a1
Number of Adults with Other Income,1,4,10,14,3,14,46,17,0.37,NA,all_persons,2018-06-01,2018-06-30,Q19a1
Average Change in Other Income,-623,-671,0,821.93,1066,0,0,865,0,NA,all_persons,2018-06-01,2018-06-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,4,12,15,3,7,46,19,0.41,NA,all_persons,2018-06-01,2018-06-30,Q19a1
Average Change in Overall Income,-623,-671,0,805.6,1066,0,306,876.42,0,NA,all_persons,2018-06-01,2018-06-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,3,0,1,38,46,2,0.04,NA,all_persons,2018-07-01,2018-07-31,Q19a1
Average Change in Earned Income,0,0,0,0,578,0,0,974,0,NA,all_persons,2018-07-01,2018-07-31,Q19a1
Number of Adults with Other Income,1,4,11,13,3,14,46,16,0.35,NA,all_persons,2018-07-01,2018-07-31,Q19a1
Average Change in Other Income,-623,-671,0,827.08,1066,0,0,871.88,0,NA,all_persons,2018-07-01,2018-07-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,4,13,14,3,7,46,18,0.39,NA,all_persons,2018-07-01,2018-07-31,Q19a1
Average Change in Overall Income,-623,-671,0,809.21,1066,0,290,883.17,0,NA,all_persons,2018-07-01,2018-07-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,3,0,1,41,49,2,0.04,NA,all_persons,2018-08-01,2018-08-31,Q19a1
Average Change in Earned Income,0,0,0,0,578,0,0,974,0,NA,all_persons,2018-08-01,2018-08-31,Q19a1
Number of Adults with Other Income,1,4,12,14,4,14,49,18,0.37,NA,all_persons,2018-08-01,2018-08-31,Q19a1
Average Change in Other Income,-623,-671,0,846.36,987,0,0,877.61,0,NA,all_persons,2018-08-01,2018-08-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,4,14,15,4,7,49,20,0.41,NA,all_persons,2018-08-01,2018-08-31,Q19a1
Average Change in Overall Income,-623,-671,0,828.4,987,0,310,887.2,0,NA,all_persons,2018-08-01,2018-08-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,4,0,1,40,50,2,0.04,NA,all_persons,2018-09-01,2018-09-30,Q19a1
Average Change in Earned Income,0,0,0,0,578,0,0,974,0,NA,all_persons,2018-09-01,2018-09-30,Q19a1
Number of Adults with Other Income,1,4,12,15,3,15,50,18,0.36,NA,all_persons,2018-09-01,2018-09-30,Q19a1
Average Change in Other Income,-623,-671,0,803.4,752,0,0,794.83,0,NA,all_persons,2018-09-01,2018-09-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,4,14,16,3,7,50,20,0.4,NA,all_persons,2018-09-01,2018-09-30,Q19a1
Average Change in Overall Income,-623,-671,0,789.25,752,0,274,812.7,0,NA,all_persons,2018-09-01,2018-09-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,5,0,1,42,53,2,0.04,NA,all_persons,2018-10-01,2018-10-31,Q19a1
Average Change in Earned Income,0,0,0,0,578,0,0,974,0,NA,all_persons,2018-10-01,2018-10-31,Q19a1
Number of Adults with Other Income,1,4,13,16,3,16,53,19,0.36,NA,all_persons,2018-10-01,2018-10-31,Q19a1
Average Change in Other Income,-623,-671,0,800.06,752,0,0,792.47,0,NA,all_persons,2018-10-01,2018-10-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,4,16,17,3,7,53,21,0.4,NA,all_persons,2018-10-01,2018-10-31,Q19a1
Average Change in Overall Income,-623,-671,0,786.94,752,0,272,809.71,0,NA,all_persons,2018-10-01,2018-10-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,6,0,1,40,52,2,0.04,NA,all_persons,2018-11-01,2018-11-30,Q19a1
Average Change in Earned Income,0,0,0,0,578,0,0,974,0,NA,all_persons,2018-11-01,2018-11-30,Q19a1
Number of Adults with Other Income,0,3,14,16,3,16,52,19,0.37,NA,all_persons,2018-11-01,2018-11-30,Q19a1
Average Change in Other Income,0,-872.67,0,764.69,752,0,0,762.68,0,NA,all_persons,2018-11-01,2018-11-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",0,3,17,17,3,7,52,21,0.4,NA,all_persons,2018-11-01,2018-11-30,Q19a1
Average Change in Overall Income,0,-872.67,0,753.65,752,0,280,782.76,0,NA,all_persons,2018-11-01,2018-11-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,6,0,1,42,53,2,0.04,NA,all_persons,2018-12-01,2018-12-31,Q19a1
Average Change in Earned Income,0,0,0,0,578,0,0,974,0,NA,all_persons,2018-12-01,2018-12-31,Q19a1
Number of Adults with Other Income,0,4,14,16,3,16,53,19,0.36,NA,all_persons,2018-12-01,2018-12-31,Q19a1
Average Change in Other Income,0,-655.75,0,812.88,752,0,0,803.26,0,NA,all_persons,2018-12-01,2018-12-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",0,4,17,17,3,8,53,21,0.4,NA,all_persons,2018-12-01,2018-12-31,Q19a1
Average Change in Overall Income,0,-655.75,0,799,752,0,272,819.48,0,NA,all_persons,2018-12-01,2018-12-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,6,0,2,40,52,3,0.06,NA,all_persons,2019-01-01,2019-01-31,Q19a1
Average Change in Earned Income,0,0,0,0,1026,0,0,1140.67,0,NA,all_persons,2019-01-01,2019-01-31,Q19a1
Number of Adults with Other Income,0,4,13,16,3,16,52,19,0.37,NA,all_persons,2019-01-01,2019-01-31,Q19a1
Average Change in Other Income,0,-655.75,0,896.19,752,0,0,873.42,0,NA,all_persons,2019-01-01,2019-01-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",0,4,16,17,4,7,52,22,0.42,NA,all_persons,2019-01-01,2019-01-31,Q19a1
Average Change in Overall Income,0,-655.75,0,877.41,932.5,0,331,909.82,0,NA,all_persons,2019-01-01,2019-01-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,1,7,1,2,43,58,4,0.07,NA,all_persons,2019-02-01,2019-02-28,Q19a1
Average Change in Earned Income,0,-50,0,25,1026,0,0,861.75,0,NA,all_persons,2019-02-01,2019-02-28,Q19a1
Number of Adults with Other Income,0,4,14,16,3,21,58,19,0.33,NA,all_persons,2019-02-01,2019-02-28,Q19a1
Average Change in Other Income,0,-655.75,0,896.19,752,0,0,873.42,0,NA,all_persons,2019-02-01,2019-02-28,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",0,5,18,18,4,9,58,23,0.4,NA,all_persons,2019-02-01,2019-02-28,Q19a1
Average Change in Overall Income,0,-534.6,0,830.06,932.5,0,296,871.35,0,NA,all_persons,2019-02-01,2019-02-28,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,1,7,1,2,44,59,4,0.07,NA,all_persons,2019-03-01,2019-03-31,Q19a1
Average Change in Earned Income,0,-50,0,25,1026,0,0,861.75,0,NA,all_persons,2019-03-01,2019-03-31,Q19a1
Number of Adults with Other Income,0,3,15,17,3,21,59,20,0.34,NA,all_persons,2019-03-01,2019-03-31,Q19a1
Average Change in Other Income,0,-516.67,0,849.53,752,0,0,834.9,0,NA,all_persons,2019-03-01,2019-03-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",0,4,19,19,4,9,59,24,0.41,NA,all_persons,2019-03-01,2019-03-31,Q19a1
Average Change in Overall Income,0,-400,0,791.79,932.5,0,311,839.33,0,NA,all_persons,2019-03-01,2019-03-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,1,7,1,2,44,59,4,0.07,NA,all_persons,2019-04-01,2019-04-30,Q19a1
Average Change in Earned Income,0,-50,0,25,1026,0,0,861.75,0,NA,all_persons,2019-04-01,2019-04-30,Q19a1
Number of Adults with Other Income,0,3,15,17,3,21,59,20,0.34,NA,all_persons,2019-04-01,2019-04-30,Q19a1
Average Change in Other Income,0,-516.67,0,849.53,752,0,0,834.9,0,NA,all_persons,2019-04-01,2019-04-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",0,4,19,19,4,9,59,24,0.41,NA,all_persons,2019-04-01,2019-04-30,Q19a1
Average Change in Overall Income,0,-400,0,791.79,932.5,0,311,839.33,0,NA,all_persons,2019-04-01,2019-04-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,1,8,1,2,46,62,4,0.06,NA,all_persons,2019-05-01,2019-05-31,Q19a1
Average Change in Earned Income,0,-50,0,25,1026,0,0,743,0,NA,all_persons,2019-05-01,2019-05-31,Q19a1
Number of Adults with Other Income,0,4,16,17,3,22,62,20,0.32,NA,all_persons,2019-05-01,2019-05-31,Q19a1
Average Change in Other Income,0,-404,0,789.76,752,0,0,784.1,0,NA,all_persons,2019-05-01,2019-05-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",0,5,20,19,4,10,62,24,0.39,NA,all_persons,2019-05-01,2019-05-31,Q19a1
Average Change in Overall Income,0,-333.2,0,738.32,932.5,0,271,777.21,0,NA,all_persons,2019-05-01,2019-05-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,1,7,1,2,49,64,4,0.06,NA,all_persons,2019-06-01,2019-06-30,Q19a1
Average Change in Earned Income,0,-50,0,25,1026,0,0,743,0,NA,all_persons,2019-06-01,2019-06-30,Q19a1
Number of Adults with Other Income,0,4,17,16,3,24,64,19,0.3,NA,all_persons,2019-06-01,2019-06-30,Q19a1
Average Change in Other Income,0,-404,0,827.44,752,0,0,815.53,0,NA,all_persons,2019-06-01,2019-06-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",0,5,21,18,4,12,64,23,0.36,NA,all_persons,2019-06-01,2019-06-30,Q19a1
Average Change in Overall Income,0,-333.2,0,768.94,932.5,0,260,802.87,0,NA,all_persons,2019-06-01,2019-06-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,1,7,1,2,49,64,4,0.06,NA,all_persons,2019-07-01,2019-07-31,Q19a1
Average Change in Earned Income,0,-50,0,25,1026,0,0,743,0,NA,all_persons,2019-07-01,2019-07-31,Q19a1
Number of Adults with Other Income,0,3,17,17,3,24,64,20,0.31,NA,all_persons,2019-07-01,2019-07-31,Q19a1
Average Change in Other Income,0,-537,0,825.29,752,0,0,814.3,0,NA,all_persons,2019-07-01,2019-07-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",0,4,21,19,4,12,64,24,0.38,NA,all_persons,2019-07-01,2019-07-31,Q19a1
Average Change in Overall Income,0,-415.25,0,770.11,932.5,0,272,802.38,0,NA,all_persons,2019-07-01,2019-07-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,1,6,1,2,48,63,4,0.06,NA,all_persons,2019-08-01,2019-08-31,Q19a1
Average Change in Earned Income,-600,-50,0,25,1026,0,0,743,0,NA,all_persons,2019-08-01,2019-08-31,Q19a1
Number of Adults with Other Income,0,3,17,18,3,22,63,21,0.33,NA,all_persons,2019-08-01,2019-08-31,Q19a1
Average Change in Other Income,0,-537,0,781.22,759,0,0,778.05,0,NA,all_persons,2019-08-01,2019-08-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,4,20,20,4,10,63,25,0.4,NA,all_persons,2019-08-01,2019-08-31,Q19a1
Average Change in Overall Income,-600,-415.25,0,733.2,937.75,0,274,772.4,0,NA,all_persons,2019-08-01,2019-08-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,1,5,1,2,46,60,4,0.07,NA,all_persons,2019-09-01,2019-09-30,Q19a1
Average Change in Earned Income,-600,-50,0,25,1026,0,0,743,0,NA,all_persons,2019-09-01,2019-09-30,Q19a1
Number of Adults with Other Income,0,3,15,18,3,21,60,21,0.35,NA,all_persons,2019-09-01,2019-09-30,Q19a1
Average Change in Other Income,0,-537,0,775.22,759,0,0,772.9,0,NA,all_persons,2019-09-01,2019-09-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,4,17,20,4,10,60,25,0.42,NA,all_persons,2019-09-01,2019-09-30,Q19a1
Average Change in Overall Income,-600,-415.25,0,727.8,937.75,0,286,768.08,0,NA,all_persons,2019-09-01,2019-09-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,1,6,1,2,49,64,4,0.06,NA,all_persons,2019-10-01,2019-10-31,Q19a1
Average Change in Earned Income,-600,-50,0,25,1026,0,0,743,0,NA,all_persons,2019-10-01,2019-10-31,Q19a1
Number of Adults with Other Income,0,2,17,21,3,21,64,24,0.38,NA,all_persons,2019-10-01,2019-10-31,Q19a1
Average Change in Other Income,0,-772.5,0,668.86,759,0,0,680.13,0,NA,all_persons,2019-10-01,2019-10-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,3,20,23,4,9,64,28,0.44,NA,all_persons,2019-10-01,2019-10-31,Q19a1
Average Change in Overall Income,-600,-531.67,0,636.87,937.75,0,271,689.07,0,NA,all_persons,2019-10-01,2019-10-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,1,5,1,2,50,65,4,0.06,NA,all_persons,2019-11-01,2019-11-30,Q19a1
Average Change in Earned Income,-912,-50,0,25,1026,0,0,743,0,NA,all_persons,2019-11-01,2019-11-30,Q19a1
Number of Adults with Other Income,1,2,15,23,3,21,65,26,0.4,NA,all_persons,2019-11-01,2019-11-30,Q19a1
Average Change in Other Income,-750,-772.5,0,803.7,759,0,0,798.54,0,NA,all_persons,2019-11-01,2019-11-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,3,18,25,4,9,65,30,0.46,NA,all_persons,2019-11-01,2019-11-30,Q19a1
Average Change in Overall Income,-675,-531.67,0,714.52,937.75,0,304,750.3,0,NA,all_persons,2019-11-01,2019-11-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,1,4,1,2,49,63,4,0.06,NA,all_persons,2019-12-01,2019-12-31,Q19a1
Average Change in Earned Income,-912,-50,0,25,1026,0,0,743,0,NA,all_persons,2019-12-01,2019-12-31,Q19a1
Number of Adults with Other Income,1,2,15,22,3,20,63,25,0.4,NA,all_persons,2019-12-01,2019-12-31,Q19a1
Average Change in Other Income,-750,-772.5,0,805.18,759,0,0,799.64,0,NA,all_persons,2019-12-01,2019-12-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,3,17,24,4,9,63,29,0.46,NA,all_persons,2019-12-01,2019-12-31,Q19a1
Average Change in Overall Income,-675,-531.67,0,712.17,937.75,0,302,749.59,0,NA,all_persons,2019-12-01,2019-12-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,1,3,1,2,46,59,4,0.07,NA,all_persons,2020-01-01,2020-01-31,Q19a1
Average Change in Earned Income,-912,-50,0,25,1026,0,0,743,0,NA,all_persons,2020-01-01,2020-01-31,Q19a1
Number of Adults with Other Income,1,2,13,23,2,18,59,25,0.42,NA,all_persons,2020-01-01,2020-01-31,Q19a1
Average Change in Other Income,-750,-772.5,0,676.65,771,0,0,684.2,0,NA,all_persons,2020-01-01,2020-01-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,3,14,25,3,8,59,29,0.49,NA,all_persons,2020-01-01,2020-01-31,Q19a1
Average Change in Overall Income,-675,-531.67,0,597.64,1005.33,0,274,650.07,0,NA,all_persons,2020-01-01,2020-01-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,0,3,2,2,47,60,5,0.08,NA,all_persons,2020-02-01,2020-02-29,Q19a1
Average Change in Earned Income,-912,0,0,407.5,1026,0,0,752.4,0,NA,all_persons,2020-02-01,2020-02-29,Q19a1
Number of Adults with Other Income,1,2,11,24,1,21,60,25,0.42,NA,all_persons,2020-02-01,2020-02-29,Q19a1
Average Change in Other Income,-750,-772.5,0,648.96,771,0,0,653.84,0,NA,all_persons,2020-02-01,2020-02-29,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,2,12,27,2,11,60,30,0.5,NA,all_persons,2020-02-01,2020-02-29,Q19a1
Average Change in Overall Income,-675,-772.5,0,583.07,1122.5,0,270,629.43,0,NA,all_persons,2020-02-01,2020-02-29,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,0,3,2,1,48,60,4,0.07,NA,all_persons,2020-03-01,2020-03-31,Q19a1
Average Change in Earned Income,-912,0,0,407.5,1474,0,0,796,0,NA,all_persons,2020-03-01,2020-03-31,Q19a1
Number of Adults with Other Income,2,2,10,24,1,21,60,25,0.42,NA,all_persons,2020-03-01,2020-03-31,Q19a1
Average Change in Other Income,-1111.5,-772.5,0,649.92,771,0,0,654.76,0,NA,all_persons,2020-03-01,2020-03-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",3,2,12,26,2,11,60,29,0.48,NA,all_persons,2020-03-01,2020-03-31,Q19a1
Average Change in Overall Income,-941,-772.5,0,584.19,1122.5,0,237,632.03,0,NA,all_persons,2020-03-01,2020-03-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,0,4,2,1,47,59,4,0.07,NA,all_persons,2020-04-01,2020-04-30,Q19a1
Average Change in Earned Income,-912,0,0,407.5,1474,0,0,796,0,NA,all_persons,2020-04-01,2020-04-30,Q19a1
Number of Adults with Other Income,2,2,10,23,1,21,59,24,0.41,NA,all_persons,2020-04-01,2020-04-30,Q19a1
Average Change in Other Income,-1111.5,-754.5,0,630.48,771,0,0,636.33,0,NA,all_persons,2020-04-01,2020-04-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",3,2,13,25,2,11,59,28,0.47,NA,all_persons,2020-04-01,2020-04-30,Q19a1
Average Change in Overall Income,-941,-754.5,0,563.68,1122.5,0,223,615.43,0,NA,all_persons,2020-04-01,2020-04-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,0,4,2,1,47,59,4,0.07,NA,all_persons,2020-05-01,2020-05-31,Q19a1
Average Change in Earned Income,-912,0,0,407.5,1474,0,0,749.25,0,NA,all_persons,2020-05-01,2020-05-31,Q19a1
Number of Adults with Other Income,3,2,9,23,1,21,59,24,0.41,NA,all_persons,2020-05-01,2020-05-31,Q19a1
Average Change in Other Income,-991,-754.5,0,664.87,771,0,0,669.29,0,NA,all_persons,2020-05-01,2020-05-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",3,3,12,25,2,11,59,28,0.47,NA,all_persons,2020-05-01,2020-05-31,Q19a1
Average Change in Overall Income,-941,-753,0,595.32,1122.5,0,220,637,0,NA,all_persons,2020-05-01,2020-05-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,0,4,2,1,46,58,4,0.07,NA,all_persons,2020-06-01,2020-06-30,Q19a1
Average Change in Earned Income,-912,0,0,407.5,1474,0,0,749.25,0,NA,all_persons,2020-06-01,2020-06-30,Q19a1
Number of Adults with Other Income,3,2,10,22,1,20,58,23,0.4,NA,all_persons,2020-06-01,2020-06-30,Q19a1
Average Change in Other Income,-991,-754.5,0,607.55,771,0,0,614.65,0,NA,all_persons,2020-06-01,2020-06-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",3,3,13,24,2,10,58,27,0.47,NA,all_persons,2020-06-01,2020-06-30,Q19a1
Average Change in Overall Income,-941,-753,0,539.88,1122.5,0,191,589.26,0,NA,all_persons,2020-06-01,2020-06-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,0,4,2,1,46,59,4,0.07,NA,all_persons,2020-07-01,2020-07-31,Q19a1
Average Change in Earned Income,-1008,0,0,407.5,1474,0,0,749.25,0,NA,all_persons,2020-07-01,2020-07-31,Q19a1
Number of Adults with Other Income,3,2,9,23,1,21,59,24,0.41,NA,all_persons,2020-07-01,2020-07-31,Q19a1
Average Change in Other Income,-991,-754.5,0,585.35,771,0,0,593.08,0,NA,all_persons,2020-07-01,2020-07-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",4,3,12,25,2,10,59,28,0.47,NA,all_persons,2020-07-01,2020-07-31,Q19a1
Average Change in Overall Income,-1005.75,-753,0,522.16,1122.5,0,169,571.68,0,NA,all_persons,2020-07-01,2020-07-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,0,4,2,1,46,59,4,0.07,NA,all_persons,2020-08-01,2020-08-31,Q19a1
