data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Project Start Date (3.10),0,0,data_quality,2020-07-01,2020-07-31,Q6b
Relationship to Head of Household (3.15),131,0.12,data_quality,2020-07-01,2020-07-31,Q6b
Client Location (3.16),0,0,data_quality,2020-07-01,2020-07-31,Q6b
Disabling Condition (3.8),57,0.05,data_quality,2020-07-01,2020-07-31,Q6b
Veteran Status (3.7),11,0.01,data_quality,2020-08-01,2020-08-31,Q6b
Project Start Date (3.10),0,0,data_quality,2020-08-01,2020-08-31,Q6b
Relationship to Head of Household (3.15),130,0.12,data_quality,2020-08-01,2020-08-31,Q6b
Client Location (3.16),0,0,data_quality,2020-08-01,2020-08-31,Q6b
Disabling Condition (3.8),50,0.05,data_quality,2020-08-01,2020-08-31,Q6b
Veteran Status (3.7),12,0.01,data_quality,2020-09-01,2020-09-30,Q6b
Project Start Date (3.10),0,0,data_quality,2020-09-01,2020-09-30,Q6b
Relationship to Head of Household (3.15),136,0.12,data_quality,2020-09-01,2020-09-30,Q6b
Client Location (3.16),0,0,data_quality,2020-09-01,2020-09-30,Q6b
Disabling Condition (3.8),62,0.06,data_quality,2020-09-01,2020-09-30,Q6b
Veteran Status (3.7),11,0.01,data_quality,2020-10-01,2020-10-31,Q6b
Project Start Date (3.10),0,0,data_quality,2020-10-01,2020-10-31,Q6b
Relationship to Head of Household (3.15),137,0.12,data_quality,2020-10-01,2020-10-31,Q6b
Client Location (3.16),0,0,data_quality,2020-10-01,2020-10-31,Q6b
Disabling Condition (3.8),60,0.05,data_quality,2020-10-01,2020-10-31,Q6b
Veteran Status (3.7),14,0.01,data_quality,2020-11-01,2020-11-30,Q6b
Project Start Date (3.10),0,0,data_quality,2020-11-01,2020-11-30,Q6b
Relationship to Head of Household (3.15),145,0.12,data_quality,2020-11-01,2020-11-30,Q6b
Client Location (3.16),0,0,data_quality,2020-11-01,2020-11-30,Q6b
Disabling Condition (3.8),67,0.06,data_quality,2020-11-01,2020-11-30,Q6b
Veteran Status (3.7),18,0.02,data_quality,2020-12-01,2020-12-31,Q6b
Project Start Date (3.10),0,0,data_quality,2020-12-01,2020-12-31,Q6b
Relationship to Head of Household (3.15),149,0.12,data_quality,2020-12-01,2020-12-31,Q6b
Client Location (3.16),0,0,data_quality,2020-12-01,2020-12-31,Q6b
Disabling Condition (3.8),70,0.06,data_quality,2020-12-01,2020-12-31,Q6b
Veteran Status (3.7),16,0.02,data_quality,2021-01-01,2021-01-31,Q6b
Project Start Date (3.10),0,0,data_quality,2021-01-01,2021-01-31,Q6b
Relationship to Head of Household (3.15),145,0.12,data_quality,2021-01-01,2021-01-31,Q6b
Client Location (3.16),0,0,data_quality,2021-01-01,2021-01-31,Q6b
Disabling Condition (3.8),65,0.05,data_quality,2021-01-01,2021-01-31,Q6b
Veteran Status (3.7),20,0.02,data_quality,2021-02-01,2021-02-28,Q6b
Project Start Date (3.10),0,0,data_quality,2021-02-01,2021-02-28,Q6b
Relationship to Head of Household (3.15),152,0.13,data_quality,2021-02-01,2021-02-28,Q6b
Client Location (3.16),0,0,data_quality,2021-02-01,2021-02-28,Q6b
Disabling Condition (3.8),69,0.06,data_quality,2021-02-01,2021-02-28,Q6b
Veteran Status (3.7),18,0.02,data_quality,2021-03-01,2021-03-31,Q6b
Project Start Date (3.10),0,0,data_quality,2021-03-01,2021-03-31,Q6b
Relationship to Head of Household (3.15),140,0.12,data_quality,2021-03-01,2021-03-31,Q6b
Client Location (3.16),0,0,data_quality,2021-03-01,2021-03-31,Q6b
Disabling Condition (3.8),73,0.06,data_quality,2021-03-01,2021-03-31,Q6b
Veteran Status (3.7),16,0.02,data_quality,2021-04-01,2021-04-30,Q6b
Project Start Date (3.10),0,0,data_quality,2021-04-01,2021-04-30,Q6b
Relationship to Head of Household (3.15),149,0.13,data_quality,2021-04-01,2021-04-30,Q6b
Client Location (3.16),0,0,data_quality,2021-04-01,2021-04-30,Q6b
Disabling Condition (3.8),80,0.07,data_quality,2021-04-01,2021-04-30,Q6b
Veteran Status (3.7),19,0.02,data_quality,2021-05-01,2021-05-31,Q6b
Project Start Date (3.10),0,0,data_quality,2021-05-01,2021-05-31,Q6b
Relationship to Head of Household (3.15),159,0.14,data_quality,2021-05-01,2021-05-31,Q6b
Client Location (3.16),0,0,data_quality,2021-05-01,2021-05-31,Q6b
Disabling Condition (3.8),87,0.08,data_quality,2021-05-01,2021-05-31,Q6b
Veteran Status (3.7),18,0.02,data_quality,2021-06-01,2021-06-30,Q6b
Project Start Date (3.10),0,0,data_quality,2021-06-01,2021-06-30,Q6b
Relationship to Head of Household (3.15),159,0.14,data_quality,2021-06-01,2021-06-30,Q6b
Client Location (3.16),0,0,data_quality,2021-06-01,2021-06-30,Q6b
Disabling Condition (3.8),83,0.07,data_quality,2021-06-01,2021-06-30,Q6b
Veteran Status (3.7),18,0.02,data_quality,2021-07-01,2021-07-31,Q6b
Project Start Date (3.10),0,0,data_quality,2021-07-01,2021-07-31,Q6b
Relationship to Head of Household (3.15),154,0.13,data_quality,2021-07-01,2021-07-31,Q6b
Client Location (3.16),0,0,data_quality,2021-07-01,2021-07-31,Q6b
Disabling Condition (3.8),78,0.07,data_quality,2021-07-01,2021-07-31,Q6b
Veteran Status (3.7),19,0.02,data_quality,2021-08-01,2021-08-31,Q6b
Project Start Date (3.10),0,0,data_quality,2021-08-01,2021-08-31,Q6b
Relationship to Head of Household (3.15),174,0.13,data_quality,2021-08-01,2021-08-31,Q6b
Client Location (3.16),0,0,data_quality,2021-08-01,2021-08-31,Q6b
Disabling Condition (3.8),92,0.07,data_quality,2021-08-01,2021-08-31,Q6b
Veteran Status (3.7),20,0.02,data_quality,2021-09-01,2021-09-30,Q6b
Project Start Date (3.10),0,0,data_quality,2021-09-01,2021-09-30,Q6b
Relationship to Head of Household (3.15),234,0.16,data_quality,2021-09-01,2021-09-30,Q6b
Client Location (3.16),0,0,data_quality,2021-09-01,2021-09-30,Q6b
Disabling Condition (3.8),110,0.08,data_quality,2021-09-01,2021-09-30,Q6b
Veteran Status (3.7),21,0.02,data_quality,2021-10-01,2021-10-31,Q6b
Project Start Date (3.10),0,0,data_quality,2021-10-01,2021-10-31,Q6b
Relationship to Head of Household (3.15),234,0.16,data_quality,2021-10-01,2021-10-31,Q6b
Client Location (3.16),0,0,data_quality,2021-10-01,2021-10-31,Q6b
Disabling Condition (3.8),126,0.09,data_quality,2021-10-01,2021-10-31,Q6b
Veteran Status (3.7),25,0.02,data_quality,2021-11-01,2021-11-30,Q6b
Project Start Date (3.10),0,0,data_quality,2021-11-01,2021-11-30,Q6b
Relationship to Head of Household (3.15),247,0.16,data_quality,2021-11-01,2021-11-30,Q6b
Client Location (3.16),0,0,data_quality,2021-11-01,2021-11-30,Q6b
Disabling Condition (3.8),147,0.09,data_quality,2021-11-01,2021-11-30,Q6b
Veteran Status (3.7),26,0.02,data_quality,2021-12-01,2021-12-31,Q6b
Project Start Date (3.10),0,0,data_quality,2021-12-01,2021-12-31,Q6b
Relationship to Head of Household (3.15),288,0.17,data_quality,2021-12-01,2021-12-31,Q6b
Client Location (3.16),0,0,data_quality,2021-12-01,2021-12-31,Q6b
Disabling Condition (3.8),167,0.1,data_quality,2021-12-01,2021-12-31,Q6b
Veteran Status (3.7),25,0.02,data_quality,2022-01-01,2022-01-31,Q6b
Project Start Date (3.10),0,0,data_quality,2022-01-01,2022-01-31,Q6b
Relationship to Head of Household (3.15),265,0.16,data_quality,2022-01-01,2022-01-31,Q6b
Client Location (3.16),0,0,data_quality,2022-01-01,2022-01-31,Q6b
Disabling Condition (3.8),149,0.09,data_quality,2022-01-01,2022-01-31,Q6b
Veteran Status (3.7),27,0.02,data_quality,2022-02-01,2022-02-28,Q6b
Project Start Date (3.10),0,0,data_quality,2022-02-01,2022-02-28,Q6b
Relationship to Head of Household (3.15),269,0.16,data_quality,2022-02-01,2022-02-28,Q6b
Client Location (3.16),1,0,data_quality,2022-02-01,2022-02-28,Q6b
Disabling Condition (3.8),166,0.1,data_quality,2022-02-01,2022-02-28,Q6b
Veteran Status (3.7),29,0.02,data_quality,2022-03-01,2022-03-31,Q6b
Project Start Date (3.10),0,0,data_quality,2022-03-01,2022-03-31,Q6b
Relationship to Head of Household (3.15),349,0.19,data_quality,2022-03-01,2022-03-31,Q6b
Client Location (3.16),1,0,data_quality,2022-03-01,2022-03-31,Q6b
Disabling Condition (3.8),214,0.12,data_quality,2022-03-01,2022-03-31,Q6b
Veteran Status (3.7),27,0.02,data_quality,2022-04-01,2022-04-30,Q6b
Project Start Date (3.10),0,0,data_quality,2022-04-01,2022-04-30,Q6b
Relationship to Head of Household (3.15),370,0.2,data_quality,2022-04-01,2022-04-30,Q6b
Client Location (3.16),1,0,data_quality,2022-04-01,2022-04-30,Q6b
Disabling Condition (3.8),236,0.13,data_quality,2022-04-01,2022-04-30,Q6b
Veteran Status (3.7),31,0.02,data_quality,2022-05-01,2022-05-31,Q6b
Project Start Date (3.10),0,0,data_quality,2022-05-01,2022-05-31,Q6b
Relationship to Head of Household (3.15),400,0.21,data_quality,2022-05-01,2022-05-31,Q6b
Client Location (3.16),1,0,data_quality,2022-05-01,2022-05-31,Q6b
Disabling Condition (3.8),262,0.14,data_quality,2022-05-01,2022-05-31,Q6b
Veteran Status (3.7),34,0.02,data_quality,2022-06-01,2022-06-30,Q6b
Project Start Date (3.10),0,0,data_quality,2022-06-01,2022-06-30,Q6b
Relationship to Head of Household (3.15),420,0.21,data_quality,2022-06-01,2022-06-30,Q6b
Client Location (3.16),1,0,data_quality,2022-06-01,2022-06-30,Q6b
Disabling Condition (3.8),279,0.14,data_quality,2022-06-01,2022-06-30,Q6b
Veteran Status (3.7),34,0.02,data_quality,2022-07-01,2022-07-31,Q6b
Project Start Date (3.10),0,0,data_quality,2022-07-01,2022-07-31,Q6b
Relationship to Head of Household (3.15),405,0.21,data_quality,2022-07-01,2022-07-31,Q6b
Client Location (3.16),1,0,data_quality,2022-07-01,2022-07-31,Q6b
Disabling Condition (3.8),275,0.14,data_quality,2022-07-01,2022-07-31,Q6b
Veteran Status (3.7),36,0.02,data_quality,2022-08-01,2022-08-31,Q6b
Project Start Date (3.10),0,0,data_quality,2022-08-01,2022-08-31,Q6b
Relationship to Head of Household (3.15),429,0.21,data_quality,2022-08-01,2022-08-31,Q6b
Client Location (3.16),1,0,data_quality,2022-08-01,2022-08-31,Q6b
Disabling Condition (3.8),304,0.15,data_quality,2022-08-01,2022-08-31,Q6b
