number_of_veterans_by_income_category,population,start_date,end_date,question,status,count
Veterans with Both Earned and Other Income,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_start,6
Veterans with No Income,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,20
Number of veterans not yet required to have an annual assessment,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_start,22
Total Veterans,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,21
Total Veterans,veterans,2016-07-01,2016-07-31,Q25f,number_of_veterans_at_exit_leavers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_start,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_start,15
Veterans with Only Other Income,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Both Earned and Other Income,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_start,10
Veterans with No Income,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,23
Number of veterans not yet required to have an annual assessment,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_start,29
Total Veterans,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,24
Total Veterans,veterans,2016-08-01,2016-08-31,Q25f,number_of_veterans_at_exit_leavers,5
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_start,11
Veterans with Only Other Income,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Both Earned and Other Income,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_start,10
Veterans with No Income,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,19
Number of veterans not yet required to have an annual assessment,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_start,27
Total Veterans,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,20
Total Veterans,veterans,2016-09-01,2016-09-30,Q25f,number_of_veterans_at_exit_leavers,7
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_start,5
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_start,11
Veterans with Only Other Income,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Both Earned and Other Income,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_start,8
Veterans with No Income,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,20
Number of veterans not yet required to have an annual assessment,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_start,26
Total Veterans,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,21
Total Veterans,veterans,2016-10-01,2016-10-31,Q25f,number_of_veterans_at_exit_leavers,5
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Only Other Income,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_start,10
Veterans with Only Other Income,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_start,11
Veterans with No Income,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,21
Number of veterans not yet required to have an annual assessment,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_start,27
Total Veterans,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,22
Total Veterans,veterans,2016-11-01,2016-11-30,Q25f,number_of_veterans_at_exit_leavers,5
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_start,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_start,10
Veterans with Only Other Income,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Both Earned and Other Income,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_start,9
Veterans with No Income,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,19
Number of veterans not yet required to have an annual assessment,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_start,24
Total Veterans,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,20
Total Veterans,veterans,2016-12-01,2016-12-31,Q25f,number_of_veterans_at_exit_leavers,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_start,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_start,13
Veterans with Only Other Income,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_start,7
Veterans with No Income,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,19
Number of veterans not yet required to have an annual assessment,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Number of veterans without required annual assessment,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_start,24
Total Veterans,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,22
Total Veterans,veterans,2017-01-01,2017-01-31,Q25f,number_of_veterans_at_exit_leavers,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Only Other Income,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_start,13
Veterans with Only Other Income,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Veterans with Only Other Income,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Both Earned and Other Income,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_start,9
Veterans with No Income,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Veterans with No Income,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,18
Number of veterans not yet required to have an annual assessment,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_start,28
Total Veterans,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,22
Total Veterans,veterans,2017-02-01,2017-02-28,Q25f,number_of_veterans_at_exit_leavers,6
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_start,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_start,10
Veterans with Only Other Income,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Veterans with Only Other Income,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Both Earned and Other Income,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with No Income,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_start,10
Veterans with No Income,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,12
Number of veterans not yet required to have an annual assessment,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_start,25
Total Veterans,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,18
Total Veterans,veterans,2017-03-01,2017-03-31,Q25f,number_of_veterans_at_exit_leavers,7
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-04-01,2017-04-30,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-04-01,2017-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2017-04-01,2017-04-30,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Only Other Income,veterans,2017-04-01,2017-04-30,Q25f,number_of_veterans_at_start,9
Veterans with Only Other Income,veterans,2017-04-01,2017-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Veterans with Only Other Income,veterans,2017-04-01,2017-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2017-04-01,2017-04-30,Q25f,number_of_veterans_at_start,0
