report_validations,count,population,start_date,end_date,question
Heads of Households and Adult Stayers in the Project 365 Days or More,108,all_persons,2016-08-01,2016-08-31,Q5a
Total Number of Persons Served,738,all_persons,2016-09-01,2016-09-30,Q5a
Number of Adults (age 18 or over),478,all_persons,2016-09-01,2016-09-30,Q5a
Number of Children (under age 18),258,all_persons,2016-09-01,2016-09-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2016-09-01,2016-09-30,Q5a
Number of Leavers,226,all_persons,2016-09-01,2016-09-30,Q5a
Number of Adult Leavers,133,all_persons,2016-09-01,2016-09-30,Q5a
Number of Adult and Head of Household Leavers,133,all_persons,2016-09-01,2016-09-30,Q5a
Number of Stayers,512,all_persons,2016-09-01,2016-09-30,Q5a
Number of Adult Stayers,345,all_persons,2016-09-01,2016-09-30,Q5a
Number of Veterans,27,all_persons,2016-09-01,2016-09-30,Q5a
Number of Chronically Homeless Persons,51,all_persons,2016-09-01,2016-09-30,Q5a
Number of Youth Under Age 25,32,all_persons,2016-09-01,2016-09-30,Q5a
Number of Parenting Youth Under Age 25 with Children,13,all_persons,2016-09-01,2016-09-30,Q5a
Number of Adult Heads of Household,369,all_persons,2016-09-01,2016-09-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2016-09-01,2016-09-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,109,all_persons,2016-09-01,2016-09-30,Q5a
Total Number of Persons Served,665,all_persons,2016-10-01,2016-10-31,Q5a
Number of Adults (age 18 or over),445,all_persons,2016-10-01,2016-10-31,Q5a
Number of Children (under age 18),218,all_persons,2016-10-01,2016-10-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2016-10-01,2016-10-31,Q5a
Number of Leavers,156,all_persons,2016-10-01,2016-10-31,Q5a
Number of Adult Leavers,92,all_persons,2016-10-01,2016-10-31,Q5a
Number of Adult and Head of Household Leavers,92,all_persons,2016-10-01,2016-10-31,Q5a
Number of Stayers,509,all_persons,2016-10-01,2016-10-31,Q5a
Number of Adult Stayers,353,all_persons,2016-10-01,2016-10-31,Q5a
Number of Veterans,26,all_persons,2016-10-01,2016-10-31,Q5a
Number of Chronically Homeless Persons,53,all_persons,2016-10-01,2016-10-31,Q5a
Number of Youth Under Age 25,23,all_persons,2016-10-01,2016-10-31,Q5a
Number of Parenting Youth Under Age 25 with Children,9,all_persons,2016-10-01,2016-10-31,Q5a
Number of Adult Heads of Household,354,all_persons,2016-10-01,2016-10-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2016-10-01,2016-10-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,109,all_persons,2016-10-01,2016-10-31,Q5a
Total Number of Persons Served,714,all_persons,2016-11-01,2016-11-30,Q5a
Number of Adults (age 18 or over),491,all_persons,2016-11-01,2016-11-30,Q5a
Number of Children (under age 18),221,all_persons,2016-11-01,2016-11-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2016-11-01,2016-11-30,Q5a
Number of Leavers,133,all_persons,2016-11-01,2016-11-30,Q5a
Number of Adult Leavers,95,all_persons,2016-11-01,2016-11-30,Q5a
Number of Adult and Head of Household Leavers,95,all_persons,2016-11-01,2016-11-30,Q5a
Number of Stayers,581,all_persons,2016-11-01,2016-11-30,Q5a
Number of Adult Stayers,396,all_persons,2016-11-01,2016-11-30,Q5a
Number of Veterans,27,all_persons,2016-11-01,2016-11-30,Q5a
Number of Chronically Homeless Persons,60,all_persons,2016-11-01,2016-11-30,Q5a
Number of Youth Under Age 25,32,all_persons,2016-11-01,2016-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,11,all_persons,2016-11-01,2016-11-30,Q5a
Number of Adult Heads of Household,395,all_persons,2016-11-01,2016-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2016-11-01,2016-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,109,all_persons,2016-11-01,2016-11-30,Q5a
Total Number of Persons Served,736,all_persons,2016-12-01,2016-12-31,Q5a
Number of Adults (age 18 or over),496,all_persons,2016-12-01,2016-12-31,Q5a
Number of Children (under age 18),238,all_persons,2016-12-01,2016-12-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2016-12-01,2016-12-31,Q5a
Number of Leavers,200,all_persons,2016-12-01,2016-12-31,Q5a
Number of Adult Leavers,124,all_persons,2016-12-01,2016-12-31,Q5a
Number of Adult and Head of Household Leavers,124,all_persons,2016-12-01,2016-12-31,Q5a
Number of Stayers,536,all_persons,2016-12-01,2016-12-31,Q5a
Number of Adult Stayers,372,all_persons,2016-12-01,2016-12-31,Q5a
Number of Veterans,24,all_persons,2016-12-01,2016-12-31,Q5a
Number of Chronically Homeless Persons,57,all_persons,2016-12-01,2016-12-31,Q5a
Number of Youth Under Age 25,28,all_persons,2016-12-01,2016-12-31,Q5a
Number of Parenting Youth Under Age 25 with Children,11,all_persons,2016-12-01,2016-12-31,Q5a
Number of Adult Heads of Household,404,all_persons,2016-12-01,2016-12-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2016-12-01,2016-12-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,111,all_persons,2016-12-01,2016-12-31,Q5a
Total Number of Persons Served,703,all_persons,2017-01-01,2017-01-31,Q5a
Number of Adults (age 18 or over),491,all_persons,2017-01-01,2017-01-31,Q5a
Number of Children (under age 18),210,all_persons,2017-01-01,2017-01-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-01-01,2017-01-31,Q5a
Number of Leavers,221,all_persons,2017-01-01,2017-01-31,Q5a
Number of Adult Leavers,141,all_persons,2017-01-01,2017-01-31,Q5a
Number of Adult and Head of Household Leavers,141,all_persons,2017-01-01,2017-01-31,Q5a
Number of Stayers,482,all_persons,2017-01-01,2017-01-31,Q5a
Number of Adult Stayers,350,all_persons,2017-01-01,2017-01-31,Q5a
Number of Veterans,24,all_persons,2017-01-01,2017-01-31,Q5a
Number of Chronically Homeless Persons,62,all_persons,2017-01-01,2017-01-31,Q5a
Number of Youth Under Age 25,24,all_persons,2017-01-01,2017-01-31,Q5a
Number of Parenting Youth Under Age 25 with Children,13,all_persons,2017-01-01,2017-01-31,Q5a
Number of Adult Heads of Household,408,all_persons,2017-01-01,2017-01-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2017-01-01,2017-01-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,116,all_persons,2017-01-01,2017-01-31,Q5a
Total Number of Persons Served,605,all_persons,2017-02-01,2017-02-28,Q5a
Number of Adults (age 18 or over),448,all_persons,2017-02-01,2017-02-28,Q5a
Number of Children (under age 18),155,all_persons,2017-02-01,2017-02-28,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-02-01,2017-02-28,Q5a
Number of Leavers,185,all_persons,2017-02-01,2017-02-28,Q5a
Number of Adult Leavers,116,all_persons,2017-02-01,2017-02-28,Q5a
Number of Adult and Head of Household Leavers,116,all_persons,2017-02-01,2017-02-28,Q5a
Number of Stayers,420,all_persons,2017-02-01,2017-02-28,Q5a
Number of Adult Stayers,332,all_persons,2017-02-01,2017-02-28,Q5a
Number of Veterans,28,all_persons,2017-02-01,2017-02-28,Q5a
Number of Chronically Homeless Persons,64,all_persons,2017-02-01,2017-02-28,Q5a
Number of Youth Under Age 25,23,all_persons,2017-02-01,2017-02-28,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2017-02-01,2017-02-28,Q5a
Number of Adult Heads of Household,379,all_persons,2017-02-01,2017-02-28,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2017-02-01,2017-02-28,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,125,all_persons,2017-02-01,2017-02-28,Q5a
Total Number of Persons Served,566,all_persons,2017-03-01,2017-03-31,Q5a
Number of Adults (age 18 or over),439,all_persons,2017-03-01,2017-03-31,Q5a
Number of Children (under age 18),125,all_persons,2017-03-01,2017-03-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-03-01,2017-03-31,Q5a
Number of Leavers,163,all_persons,2017-03-01,2017-03-31,Q5a
Number of Adult Leavers,120,all_persons,2017-03-01,2017-03-31,Q5a
Number of Adult and Head of Household Leavers,121,all_persons,2017-03-01,2017-03-31,Q5a
Number of Stayers,403,all_persons,2017-03-01,2017-03-31,Q5a
Number of Adult Stayers,319,all_persons,2017-03-01,2017-03-31,Q5a
Number of Veterans,25,all_persons,2017-03-01,2017-03-31,Q5a
Number of Chronically Homeless Persons,67,all_persons,2017-03-01,2017-03-31,Q5a
Number of Youth Under Age 25,20,all_persons,2017-03-01,2017-03-31,Q5a
Number of Parenting Youth Under Age 25 with Children,6,all_persons,2017-03-01,2017-03-31,Q5a
Number of Adult Heads of Household,382,all_persons,2017-03-01,2017-03-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2017-03-01,2017-03-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,125,all_persons,2017-03-01,2017-03-31,Q5a
Total Number of Persons Served,532,all_persons,2017-04-01,2017-04-30,Q5a
Number of Adults (age 18 or over),406,all_persons,2017-04-01,2017-04-30,Q5a
Number of Children (under age 18),124,all_persons,2017-04-01,2017-04-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-04-01,2017-04-30,Q5a
Number of Leavers,138,all_persons,2017-04-01,2017-04-30,Q5a
Number of Adult Leavers,104,all_persons,2017-04-01,2017-04-30,Q5a
Number of Adult and Head of Household Leavers,104,all_persons,2017-04-01,2017-04-30,Q5a
Number of Stayers,394,all_persons,2017-04-01,2017-04-30,Q5a
Number of Adult Stayers,302,all_persons,2017-04-01,2017-04-30,Q5a
Number of Veterans,21,all_persons,2017-04-01,2017-04-30,Q5a
Number of Chronically Homeless Persons,56,all_persons,2017-04-01,2017-04-30,Q5a
Number of Youth Under Age 25,13,all_persons,2017-04-01,2017-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2017-04-01,2017-04-30,Q5a
Number of Adult Heads of Household,348,all_persons,2017-04-01,2017-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2017-04-01,2017-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,131,all_persons,2017-04-01,2017-04-30,Q5a
Total Number of Persons Served,503,all_persons,2017-05-01,2017-05-31,Q5a
Number of Adults (age 18 or over),370,all_persons,2017-05-01,2017-05-31,Q5a
Number of Children (under age 18),131,all_persons,2017-05-01,2017-05-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-05-01,2017-05-31,Q5a
Number of Leavers,67,all_persons,2017-05-01,2017-05-31,Q5a
Number of Adult Leavers,49,all_persons,2017-05-01,2017-05-31,Q5a
Number of Adult and Head of Household Leavers,49,all_persons,2017-05-01,2017-05-31,Q5a
Number of Stayers,436,all_persons,2017-05-01,2017-05-31,Q5a
Number of Adult Stayers,321,all_persons,2017-05-01,2017-05-31,Q5a
Number of Veterans,20,all_persons,2017-05-01,2017-05-31,Q5a
Number of Chronically Homeless Persons,48,all_persons,2017-05-01,2017-05-31,Q5a
Number of Youth Under Age 25,14,all_persons,2017-05-01,2017-05-31,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2017-05-01,2017-05-31,Q5a
Number of Adult Heads of Household,307,all_persons,2017-05-01,2017-05-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2017-05-01,2017-05-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,133,all_persons,2017-05-01,2017-05-31,Q5a
Total Number of Persons Served,546,all_persons,2017-06-01,2017-06-30,Q5a
Number of Adults (age 18 or over),386,all_persons,2017-06-01,2017-06-30,Q5a
Number of Children (under age 18),158,all_persons,2017-06-01,2017-06-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-06-01,2017-06-30,Q5a
Number of Leavers,62,all_persons,2017-06-01,2017-06-30,Q5a
Number of Adult Leavers,43,all_persons,2017-06-01,2017-06-30,Q5a
Number of Adult and Head of Household Leavers,43,all_persons,2017-06-01,2017-06-30,Q5a
Number of Stayers,484,all_persons,2017-06-01,2017-06-30,Q5a
Number of Adult Stayers,343,all_persons,2017-06-01,2017-06-30,Q5a
Number of Veterans,20,all_persons,2017-06-01,2017-06-30,Q5a
Number of Chronically Homeless Persons,48,all_persons,2017-06-01,2017-06-30,Q5a
Number of Youth Under Age 25,15,all_persons,2017-06-01,2017-06-30,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2017-06-01,2017-06-30,Q5a
Number of Adult Heads of Household,313,all_persons,2017-06-01,2017-06-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2017-06-01,2017-06-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,136,all_persons,2017-06-01,2017-06-30,Q5a
Total Number of Persons Served,607,all_persons,2017-07-01,2017-07-31,Q5a
Number of Adults (age 18 or over),412,all_persons,2017-07-01,2017-07-31,Q5a
Number of Children (under age 18),193,all_persons,2017-07-01,2017-07-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-07-01,2017-07-31,Q5a
Number of Leavers,99,all_persons,2017-07-01,2017-07-31,Q5a
Number of Adult Leavers,59,all_persons,2017-07-01,2017-07-31,Q5a
Number of Adult and Head of Household Leavers,59,all_persons,2017-07-01,2017-07-31,Q5a
Number of Stayers,508,all_persons,2017-07-01,2017-07-31,Q5a
Number of Adult Stayers,353,all_persons,2017-07-01,2017-07-31,Q5a
Number of Veterans,20,all_persons,2017-07-01,2017-07-31,Q5a
Number of Chronically Homeless Persons,49,all_persons,2017-07-01,2017-07-31,Q5a
Number of Youth Under Age 25,19,all_persons,2017-07-01,2017-07-31,Q5a
Number of Parenting Youth Under Age 25 with Children,5,all_persons,2017-07-01,2017-07-31,Q5a
Number of Adult Heads of Household,334,all_persons,2017-07-01,2017-07-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2017-07-01,2017-07-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,132,all_persons,2017-07-01,2017-07-31,Q5a
Total Number of Persons Served,639,all_persons,2017-08-01,2017-08-31,Q5a
Number of Adults (age 18 or over),442,all_persons,2017-08-01,2017-08-31,Q5a
Number of Children (under age 18),195,all_persons,2017-08-01,2017-08-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-08-01,2017-08-31,Q5a
Number of Leavers,170,all_persons,2017-08-01,2017-08-31,Q5a
Number of Adult Leavers,102,all_persons,2017-08-01,2017-08-31,Q5a
Number of Adult and Head of Household Leavers,102,all_persons,2017-08-01,2017-08-31,Q5a
Number of Stayers,469,all_persons,2017-08-01,2017-08-31,Q5a
Number of Adult Stayers,340,all_persons,2017-08-01,2017-08-31,Q5a
Number of Veterans,28,all_persons,2017-08-01,2017-08-31,Q5a
Number of Chronically Homeless Persons,55,all_persons,2017-08-01,2017-08-31,Q5a
Number of Youth Under Age 25,21,all_persons,2017-08-01,2017-08-31,Q5a
Number of Parenting Youth Under Age 25 with Children,7,all_persons,2017-08-01,2017-08-31,Q5a
Number of Adult Heads of Household,355,all_persons,2017-08-01,2017-08-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2017-08-01,2017-08-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,138,all_persons,2017-08-01,2017-08-31,Q5a
Total Number of Persons Served,580,all_persons,2017-09-01,2017-09-30,Q5a
Number of Adults (age 18 or over),410,all_persons,2017-09-01,2017-09-30,Q5a
Number of Children (under age 18),168,all_persons,2017-09-01,2017-09-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-09-01,2017-09-30,Q5a
Number of Leavers,179,all_persons,2017-09-01,2017-09-30,Q5a
Number of Adult Leavers,118,all_persons,2017-09-01,2017-09-30,Q5a
Number of Adult and Head of Household Leavers,119,all_persons,2017-09-01,2017-09-30,Q5a
Number of Stayers,401,all_persons,2017-09-01,2017-09-30,Q5a
Number of Adult Stayers,292,all_persons,2017-09-01,2017-09-30,Q5a
Number of Veterans,30,all_persons,2017-09-01,2017-09-30,Q5a
Number of Chronically Homeless Persons,57,all_persons,2017-09-01,2017-09-30,Q5a
Number of Youth Under Age 25,16,all_persons,2017-09-01,2017-09-30,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2017-09-01,2017-09-30,Q5a
Number of Adult Heads of Household,333,all_persons,2017-09-01,2017-09-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2017-09-01,2017-09-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,114,all_persons,2017-09-01,2017-09-30,Q5a
Total Number of Persons Served,517,all_persons,2017-10-01,2017-10-31,Q5a
Number of Adults (age 18 or over),356,all_persons,2017-10-01,2017-10-31,Q5a
Number of Children (under age 18),159,all_persons,2017-10-01,2017-10-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-10-01,2017-10-31,Q5a
Number of Leavers,96,all_persons,2017-10-01,2017-10-31,Q5a
Number of Adult Leavers,62,all_persons,2017-10-01,2017-10-31,Q5a
Number of Adult and Head of Household Leavers,62,all_persons,2017-10-01,2017-10-31,Q5a
Number of Stayers,421,all_persons,2017-10-01,2017-10-31,Q5a
Number of Adult Stayers,294,all_persons,2017-10-01,2017-10-31,Q5a
Number of Veterans,31,all_persons,2017-10-01,2017-10-31,Q5a
Number of Chronically Homeless Persons,56,all_persons,2017-10-01,2017-10-31,Q5a
Number of Youth Under Age 25,13,all_persons,2017-10-01,2017-10-31,Q5a
Number of Parenting Youth Under Age 25 with Children,2,all_persons,2017-10-01,2017-10-31,Q5a
Number of Adult Heads of Household,289,all_persons,2017-10-01,2017-10-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2017-10-01,2017-10-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,114,all_persons,2017-10-01,2017-10-31,Q5a
Total Number of Persons Served,594,all_persons,2017-11-01,2017-11-30,Q5a
Number of Adults (age 18 or over),430,all_persons,2017-11-01,2017-11-30,Q5a
Number of Children (under age 18),162,all_persons,2017-11-01,2017-11-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-11-01,2017-11-30,Q5a
Number of Leavers,156,all_persons,2017-11-01,2017-11-30,Q5a
Number of Adult Leavers,113,all_persons,2017-11-01,2017-11-30,Q5a
Number of Adult and Head of Household Leavers,113,all_persons,2017-11-01,2017-11-30,Q5a
Number of Stayers,438,all_persons,2017-11-01,2017-11-30,Q5a
Number of Adult Stayers,317,all_persons,2017-11-01,2017-11-30,Q5a
Number of Veterans,35,all_persons,2017-11-01,2017-11-30,Q5a
Number of Chronically Homeless Persons,67,all_persons,2017-11-01,2017-11-30,Q5a
Number of Youth Under Age 25,23,all_persons,2017-11-01,2017-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,4,all_persons,2017-11-01,2017-11-30,Q5a
Number of Adult Heads of Household,357,all_persons,2017-11-01,2017-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2017-11-01,2017-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,112,all_persons,2017-11-01,2017-11-30,Q5a
Total Number of Persons Served,578,all_persons,2017-12-01,2017-12-31,Q5a
Number of Adults (age 18 or over),425,all_persons,2017-12-01,2017-12-31,Q5a
Number of Children (under age 18),151,all_persons,2017-12-01,2017-12-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-12-01,2017-12-31,Q5a
Number of Leavers,164,all_persons,2017-12-01,2017-12-31,Q5a
Number of Adult Leavers,119,all_persons,2017-12-01,2017-12-31,Q5a
Number of Adult and Head of Household Leavers,120,all_persons,2017-12-01,2017-12-31,Q5a
Number of Stayers,414,all_persons,2017-12-01,2017-12-31,Q5a
Number of Adult Stayers,306,all_persons,2017-12-01,2017-12-31,Q5a
Number of Veterans,28,all_persons,2017-12-01,2017-12-31,Q5a
Number of Chronically Homeless Persons,68,all_persons,2017-12-01,2017-12-31,Q5a
Number of Youth Under Age 25,21,all_persons,2017-12-01,2017-12-31,Q5a
Number of Parenting Youth Under Age 25 with Children,0,all_persons,2017-12-01,2017-12-31,Q5a
Number of Adult Heads of Household,354,all_persons,2017-12-01,2017-12-31,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2017-12-01,2017-12-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,108,all_persons,2017-12-01,2017-12-31,Q5a
Total Number of Persons Served,561,all_persons,2018-01-01,2018-01-31,Q5a
Number of Adults (age 18 or over),417,all_persons,2018-01-01,2018-01-31,Q5a
Number of Children (under age 18),142,all_persons,2018-01-01,2018-01-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2018-01-01,2018-01-31,Q5a
Number of Leavers,107,all_persons,2018-01-01,2018-01-31,Q5a
Number of Adult Leavers,80,all_persons,2018-01-01,2018-01-31,Q5a
Number of Adult and Head of Household Leavers,80,all_persons,2018-01-01,2018-01-31,Q5a
Number of Stayers,454,all_persons,2018-01-01,2018-01-31,Q5a
Number of Adult Stayers,337,all_persons,2018-01-01,2018-01-31,Q5a
Number of Veterans,35,all_persons,2018-01-01,2018-01-31,Q5a
Number of Chronically Homeless Persons,71,all_persons,2018-01-01,2018-01-31,Q5a
Number of Youth Under Age 25,20,all_persons,2018-01-01,2018-01-31,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2018-01-01,2018-01-31,Q5a
Number of Adult Heads of Household,354,all_persons,2018-01-01,2018-01-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2018-01-01,2018-01-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,109,all_persons,2018-01-01,2018-01-31,Q5a
Total Number of Persons Served,587,all_persons,2018-02-01,2018-02-28,Q5a
Number of Adults (age 18 or over),435,all_persons,2018-02-01,2018-02-28,Q5a
Number of Children (under age 18),150,all_persons,2018-02-01,2018-02-28,Q5a
Number of Persons with Unknown Age,2,all_persons,2018-02-01,2018-02-28,Q5a
Number of Leavers,111,all_persons,2018-02-01,2018-02-28,Q5a
Number of Adult Leavers,88,all_persons,2018-02-01,2018-02-28,Q5a
Number of Adult and Head of Household Leavers,88,all_persons,2018-02-01,2018-02-28,Q5a
Number of Stayers,476,all_persons,2018-02-01,2018-02-28,Q5a
Number of Adult Stayers,347,all_persons,2018-02-01,2018-02-28,Q5a
Number of Veterans,33,all_persons,2018-02-01,2018-02-28,Q5a
Number of Chronically Homeless Persons,77,all_persons,2018-02-01,2018-02-28,Q5a
Number of Youth Under Age 25,26,all_persons,2018-02-01,2018-02-28,Q5a
Number of Parenting Youth Under Age 25 with Children,4,all_persons,2018-02-01,2018-02-28,Q5a
Number of Adult Heads of Household,365,all_persons,2018-02-01,2018-02-28,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2018-02-01,2018-02-28,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,112,all_persons,2018-02-01,2018-02-28,Q5a
Total Number of Persons Served,583,all_persons,2018-03-01,2018-03-31,Q5a
Number of Adults (age 18 or over),436,all_persons,2018-03-01,2018-03-31,Q5a
Number of Children (under age 18),145,all_persons,2018-03-01,2018-03-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2018-03-01,2018-03-31,Q5a
Number of Leavers,143,all_persons,2018-03-01,2018-03-31,Q5a
Number of Adult Leavers,108,all_persons,2018-03-01,2018-03-31,Q5a
Number of Adult and Head of Household Leavers,109,all_persons,2018-03-01,2018-03-31,Q5a
Number of Stayers,440,all_persons,2018-03-01,2018-03-31,Q5a
Number of Adult Stayers,328,all_persons,2018-03-01,2018-03-31,Q5a
Number of Veterans,33,all_persons,2018-03-01,2018-03-31,Q5a
Number of Chronically Homeless Persons,82,all_persons,2018-03-01,2018-03-31,Q5a
Number of Youth Under Age 25,25,all_persons,2018-03-01,2018-03-31,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2018-03-01,2018-03-31,Q5a
Number of Adult Heads of Household,370,all_persons,2018-03-01,2018-03-31,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2018-03-01,2018-03-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,114,all_persons,2018-03-01,2018-03-31,Q5a
Total Number of Persons Served,550,all_persons,2018-04-01,2018-04-30,Q5a
Number of Adults (age 18 or over),403,all_persons,2018-04-01,2018-04-30,Q5a
Number of Children (under age 18),145,all_persons,2018-04-01,2018-04-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2018-04-01,2018-04-30,Q5a
Number of Leavers,102,all_persons,2018-04-01,2018-04-30,Q5a
Number of Adult Leavers,89,all_persons,2018-04-01,2018-04-30,Q5a
Number of Adult and Head of Household Leavers,89,all_persons,2018-04-01,2018-04-30,Q5a
Number of Stayers,448,all_persons,2018-04-01,2018-04-30,Q5a
Number of Adult Stayers,314,all_persons,2018-04-01,2018-04-30,Q5a
Number of Veterans,31,all_persons,2018-04-01,2018-04-30,Q5a
Number of Chronically Homeless Persons,81,all_persons,2018-04-01,2018-04-30,Q5a
Number of Youth Under Age 25,21,all_persons,2018-04-01,2018-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2018-04-01,2018-04-30,Q5a
Number of Adult Heads of Household,341,all_persons,2018-04-01,2018-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2018-04-01,2018-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,113,all_persons,2018-04-01,2018-04-30,Q5a
Total Number of Persons Served,587,all_persons,2018-05-01,2018-05-31,Q5a
Number of Adults (age 18 or over),399,all_persons,2018-05-01,2018-05-31,Q5a
Number of Children (under age 18),186,all_persons,2018-05-01,2018-05-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2018-05-01,2018-05-31,Q5a
Number of Leavers,139,all_persons,2018-05-01,2018-05-31,Q5a
Number of Adult Leavers,82,all_persons,2018-05-01,2018-05-31,Q5a
Number of Adult and Head of Household Leavers,82,all_persons,2018-05-01,2018-05-31,Q5a
Number of Stayers,448,all_persons,2018-05-01,2018-05-31,Q5a
Number of Adult Stayers,317,all_persons,2018-05-01,2018-05-31,Q5a
Number of Veterans,23,all_persons,2018-05-01,2018-05-31,Q5a
Number of Chronically Homeless Persons,74,all_persons,2018-05-01,2018-05-31,Q5a
Number of Youth Under Age 25,25,all_persons,2018-05-01,2018-05-31,Q5a
Number of Parenting Youth Under Age 25 with Children,7,all_persons,2018-05-01,2018-05-31,Q5a
Number of Adult Heads of Household,318,all_persons,2018-05-01,2018-05-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2018-05-01,2018-05-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,114,all_persons,2018-05-01,2018-05-31,Q5a
Total Number of Persons Served,534,all_persons,2018-06-01,2018-06-30,Q5a
Number of Adults (age 18 or over),373,all_persons,2018-06-01,2018-06-30,Q5a
Number of Children (under age 18),159,all_persons,2018-06-01,2018-06-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2018-06-01,2018-06-30,Q5a
Number of Leavers,154,all_persons,2018-06-01,2018-06-30,Q5a
Number of Adult Leavers,106,all_persons,2018-06-01,2018-06-30,Q5a
Number of Adult and Head of Household Leavers,107,all_persons,2018-06-01,2018-06-30,Q5a
Number of Stayers,380,all_persons,2018-06-01,2018-06-30,Q5a
Number of Adult Stayers,267,all_persons,2018-06-01,2018-06-30,Q5a
Number of Veterans,24,all_persons,2018-06-01,2018-06-30,Q5a
Number of Chronically Homeless Persons,79,all_persons,2018-06-01,2018-06-30,Q5a
Number of Youth Under Age 25,22,all_persons,2018-06-01,2018-06-30,Q5a
Number of Parenting Youth Under Age 25 with Children,9,all_persons,2018-06-01,2018-06-30,Q5a
Number of Adult Heads of Household,304,all_persons,2018-06-01,2018-06-30,Q5a
