data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Date of Birth (3.3),0,1,0,1,0,data_quality,2018-08-01,2018-08-31,Q6a
Race (3.4),1,1,0,2,0,data_quality,2018-08-01,2018-08-31,Q6a
Ethinicity (3.5),1,1,0,2,0,data_quality,2018-08-01,2018-08-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2018-08-01,2018-08-31,Q6a
Overall Score,0,0,0,34,0.06,data_quality,2018-08-01,2018-08-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-09-01,2018-09-30,Q6a
Social Security Number (3.2),16,7,2,25,0.04,data_quality,2018-09-01,2018-09-30,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2018-09-01,2018-09-30,Q6a
Race (3.4),0,1,0,1,0,data_quality,2018-09-01,2018-09-30,Q6a
Ethinicity (3.5),1,1,0,2,0,data_quality,2018-09-01,2018-09-30,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2018-09-01,2018-09-30,Q6a
Overall Score,0,0,0,29,0.05,data_quality,2018-09-01,2018-09-30,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-10-01,2018-10-31,Q6a
Social Security Number (3.2),20,12,2,34,0.06,data_quality,2018-10-01,2018-10-31,Q6a
Date of Birth (3.3),0,3,0,3,0,data_quality,2018-10-01,2018-10-31,Q6a
Race (3.4),0,1,0,1,0,data_quality,2018-10-01,2018-10-31,Q6a
Ethinicity (3.5),1,1,0,2,0,data_quality,2018-10-01,2018-10-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2018-10-01,2018-10-31,Q6a
Overall Score,0,0,0,39,0.06,data_quality,2018-10-01,2018-10-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-11-01,2018-11-30,Q6a
Social Security Number (3.2),17,15,5,37,0.06,data_quality,2018-11-01,2018-11-30,Q6a
Date of Birth (3.3),0,2,1,3,0,data_quality,2018-11-01,2018-11-30,Q6a
Race (3.4),0,1,0,1,0,data_quality,2018-11-01,2018-11-30,Q6a
Ethinicity (3.5),1,1,0,2,0,data_quality,2018-11-01,2018-11-30,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2018-11-01,2018-11-30,Q6a
Overall Score,0,0,0,42,0.06,data_quality,2018-11-01,2018-11-30,Q6a
Name (3.1),0,0,4,4,0.01,data_quality,2018-12-01,2018-12-31,Q6a
Social Security Number (3.2),17,18,3,38,0.05,data_quality,2018-12-01,2018-12-31,Q6a
Date of Birth (3.3),0,3,0,3,0,data_quality,2018-12-01,2018-12-31,Q6a
Race (3.4),0,1,0,1,0,data_quality,2018-12-01,2018-12-31,Q6a
Ethinicity (3.5),1,1,0,2,0,data_quality,2018-12-01,2018-12-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2018-12-01,2018-12-31,Q6a
Overall Score,0,0,0,44,0.06,data_quality,2018-12-01,2018-12-31,Q6a
Name (3.1),0,0,5,5,0.01,data_quality,2019-01-01,2019-01-31,Q6a
Social Security Number (3.2),14,21,12,47,0.05,data_quality,2019-01-01,2019-01-31,Q6a
Date of Birth (3.3),0,3,0,3,0,data_quality,2019-01-01,2019-01-31,Q6a
Race (3.4),0,1,0,1,0,data_quality,2019-01-01,2019-01-31,Q6a
Ethinicity (3.5),1,1,0,2,0,data_quality,2019-01-01,2019-01-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2019-01-01,2019-01-31,Q6a
Overall Score,0,0,0,53,0.06,data_quality,2019-01-01,2019-01-31,Q6a
Name (3.1),0,0,6,6,0.01,data_quality,2019-02-01,2019-02-28,Q6a
Social Security Number (3.2),14,20,9,43,0.05,data_quality,2019-02-01,2019-02-28,Q6a
Date of Birth (3.3),0,6,0,6,0.01,data_quality,2019-02-01,2019-02-28,Q6a
Race (3.4),1,3,0,4,0,data_quality,2019-02-01,2019-02-28,Q6a
Ethinicity (3.5),1,1,0,2,0,data_quality,2019-02-01,2019-02-28,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2019-02-01,2019-02-28,Q6a
Overall Score,0,0,0,56,0.06,data_quality,2019-02-01,2019-02-28,Q6a
Name (3.1),0,0,6,6,0.01,data_quality,2019-03-01,2019-03-31,Q6a
Social Security Number (3.2),14,11,11,36,0.04,data_quality,2019-03-01,2019-03-31,Q6a
Date of Birth (3.3),0,7,0,7,0.01,data_quality,2019-03-01,2019-03-31,Q6a
Race (3.4),1,2,0,3,0,data_quality,2019-03-01,2019-03-31,Q6a
Ethinicity (3.5),1,1,0,2,0,data_quality,2019-03-01,2019-03-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2019-03-01,2019-03-31,Q6a
Overall Score,0,0,0,50,0.05,data_quality,2019-03-01,2019-03-31,Q6a
Name (3.1),0,0,6,6,0.01,data_quality,2019-04-01,2019-04-30,Q6a
Social Security Number (3.2),13,15,26,54,0.06,data_quality,2019-04-01,2019-04-30,Q6a
Date of Birth (3.3),0,7,0,7,0.01,data_quality,2019-04-01,2019-04-30,Q6a
Race (3.4),0,1,0,1,0,data_quality,2019-04-01,2019-04-30,Q6a
Ethinicity (3.5),1,2,0,3,0,data_quality,2019-04-01,2019-04-30,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2019-04-01,2019-04-30,Q6a
Overall Score,0,0,0,67,0.07,data_quality,2019-04-01,2019-04-30,Q6a
Name (3.1),0,0,5,5,0.01,data_quality,2019-05-01,2019-05-31,Q6a
Social Security Number (3.2),11,17,23,51,0.05,data_quality,2019-05-01,2019-05-31,Q6a
Date of Birth (3.3),0,8,1,9,0.01,data_quality,2019-05-01,2019-05-31,Q6a
Race (3.4),0,1,0,1,0,data_quality,2019-05-01,2019-05-31,Q6a
Ethinicity (3.5),1,2,0,3,0,data_quality,2019-05-01,2019-05-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2019-05-01,2019-05-31,Q6a
Overall Score,0,0,0,63,0.07,data_quality,2019-05-01,2019-05-31,Q6a
Name (3.1),0,0,4,4,0,data_quality,2019-06-01,2019-06-30,Q6a
Social Security Number (3.2),15,16,26,57,0.06,data_quality,2019-06-01,2019-06-30,Q6a
Date of Birth (3.3),0,5,1,6,0.01,data_quality,2019-06-01,2019-06-30,Q6a
Race (3.4),0,1,0,1,0,data_quality,2019-06-01,2019-06-30,Q6a
Ethinicity (3.5),1,2,0,3,0,data_quality,2019-06-01,2019-06-30,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2019-06-01,2019-06-30,Q6a
Overall Score,0,0,0,66,0.07,data_quality,2019-06-01,2019-06-30,Q6a
Name (3.1),0,0,4,4,0,data_quality,2019-07-01,2019-07-31,Q6a
Social Security Number (3.2),43,25,33,101,0.09,data_quality,2019-07-01,2019-07-31,Q6a
Date of Birth (3.3),1,5,1,7,0.01,data_quality,2019-07-01,2019-07-31,Q6a
Race (3.4),2,2,0,4,0,data_quality,2019-07-01,2019-07-31,Q6a
Ethinicity (3.5),2,2,0,4,0,data_quality,2019-07-01,2019-07-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2019-07-01,2019-07-31,Q6a
Overall Score,0,0,0,113,0.1,data_quality,2019-07-01,2019-07-31,Q6a
Name (3.1),0,0,3,3,0,data_quality,2019-08-01,2019-08-31,Q6a
Social Security Number (3.2),47,43,27,117,0.1,data_quality,2019-08-01,2019-08-31,Q6a
Date of Birth (3.3),1,5,1,7,0.01,data_quality,2019-08-01,2019-08-31,Q6a
Race (3.4),1,9,0,10,0.01,data_quality,2019-08-01,2019-08-31,Q6a
Ethinicity (3.5),2,2,0,4,0,data_quality,2019-08-01,2019-08-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2019-08-01,2019-08-31,Q6a
Overall Score,0,0,0,130,0.11,data_quality,2019-08-01,2019-08-31,Q6a
Name (3.1),0,0,3,3,0,data_quality,2019-09-01,2019-09-30,Q6a
Social Security Number (3.2),23,37,27,87,0.08,data_quality,2019-09-01,2019-09-30,Q6a
Date of Birth (3.3),1,5,1,7,0.01,data_quality,2019-09-01,2019-09-30,Q6a
Race (3.4),1,8,0,9,0.01,data_quality,2019-09-01,2019-09-30,Q6a
Ethinicity (3.5),2,4,0,6,0.01,data_quality,2019-09-01,2019-09-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2019-09-01,2019-09-30,Q6a
Overall Score,0,0,0,100,0.09,data_quality,2019-09-01,2019-09-30,Q6a
Name (3.1),0,0,3,3,0,data_quality,2019-10-01,2019-10-31,Q6a
Social Security Number (3.2),27,52,26,105,0.09,data_quality,2019-10-01,2019-10-31,Q6a
Date of Birth (3.3),1,10,2,13,0.01,data_quality,2019-10-01,2019-10-31,Q6a
Race (3.4),0,16,0,16,0.01,data_quality,2019-10-01,2019-10-31,Q6a
Ethinicity (3.5),1,6,0,7,0.01,data_quality,2019-10-01,2019-10-31,Q6a
Gender (3.6),0,5,0,5,0,data_quality,2019-10-01,2019-10-31,Q6a
Overall Score,0,0,0,119,0.1,data_quality,2019-10-01,2019-10-31,Q6a
Name (3.1),0,0,4,4,0,data_quality,2019-11-01,2019-11-30,Q6a
Social Security Number (3.2),26,54,31,111,0.09,data_quality,2019-11-01,2019-11-30,Q6a
Date of Birth (3.3),1,9,2,12,0.01,data_quality,2019-11-01,2019-11-30,Q6a
Race (3.4),5,15,0,20,0.02,data_quality,2019-11-01,2019-11-30,Q6a
Ethinicity (3.5),2,5,0,7,0.01,data_quality,2019-11-01,2019-11-30,Q6a
Gender (3.6),0,4,0,4,0,data_quality,2019-11-01,2019-11-30,Q6a
Overall Score,0,0,0,128,0.11,data_quality,2019-11-01,2019-11-30,Q6a
Name (3.1),0,0,4,4,0,data_quality,2019-12-01,2019-12-31,Q6a
Social Security Number (3.2),27,55,23,105,0.09,data_quality,2019-12-01,2019-12-31,Q6a
Date of Birth (3.3),1,9,3,13,0.01,data_quality,2019-12-01,2019-12-31,Q6a
Race (3.4),5,14,0,19,0.02,data_quality,2019-12-01,2019-12-31,Q6a
Ethinicity (3.5),1,4,0,5,0,data_quality,2019-12-01,2019-12-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2019-12-01,2019-12-31,Q6a
Overall Score,0,0,0,121,0.1,data_quality,2019-12-01,2019-12-31,Q6a
Name (3.1),0,0,5,5,0,data_quality,2020-01-01,2020-01-31,Q6a
Social Security Number (3.2),25,53,31,109,0.09,data_quality,2020-01-01,2020-01-31,Q6a
Date of Birth (3.3),1,9,2,12,0.01,data_quality,2020-01-01,2020-01-31,Q6a
Race (3.4),3,14,0,17,0.01,data_quality,2020-01-01,2020-01-31,Q6a
Ethinicity (3.5),1,4,0,5,0,data_quality,2020-01-01,2020-01-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-01-01,2020-01-31,Q6a
Overall Score,0,0,0,125,0.1,data_quality,2020-01-01,2020-01-31,Q6a
Name (3.1),0,0,4,4,0,data_quality,2020-02-01,2020-02-29,Q6a
Social Security Number (3.2),24,48,26,98,0.08,data_quality,2020-02-01,2020-02-29,Q6a
Date of Birth (3.3),1,9,2,12,0.01,data_quality,2020-02-01,2020-02-29,Q6a
Race (3.4),2,10,0,12,0.01,data_quality,2020-02-01,2020-02-29,Q6a
Ethinicity (3.5),1,4,0,5,0,data_quality,2020-02-01,2020-02-29,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-02-01,2020-02-29,Q6a
Overall Score,0,0,0,113,0.09,data_quality,2020-02-01,2020-02-29,Q6a
Name (3.1),0,0,5,5,0,data_quality,2020-03-01,2020-03-31,Q6a
Social Security Number (3.2),30,41,21,92,0.08,data_quality,2020-03-01,2020-03-31,Q6a
Date of Birth (3.3),1,9,3,13,0.01,data_quality,2020-03-01,2020-03-31,Q6a
Race (3.4),2,10,0,12,0.01,data_quality,2020-03-01,2020-03-31,Q6a
Ethinicity (3.5),2,4,0,6,0.01,data_quality,2020-03-01,2020-03-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-03-01,2020-03-31,Q6a
Overall Score,0,0,0,107,0.1,data_quality,2020-03-01,2020-03-31,Q6a
Name (3.1),0,0,8,8,0.01,data_quality,2020-04-01,2020-04-30,Q6a
Social Security Number (3.2),29,48,22,99,0.09,data_quality,2020-04-01,2020-04-30,Q6a
Date of Birth (3.3),1,9,2,12,0.01,data_quality,2020-04-01,2020-04-30,Q6a
Race (3.4),2,10,0,12,0.01,data_quality,2020-04-01,2020-04-30,Q6a
Ethinicity (3.5),3,4,0,7,0.01,data_quality,2020-04-01,2020-04-30,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-04-01,2020-04-30,Q6a
Overall Score,0,0,0,114,0.11,data_quality,2020-04-01,2020-04-30,Q6a
Name (3.1),0,0,8,8,0.01,data_quality,2020-05-01,2020-05-31,Q6a
Social Security Number (3.2),30,46,26,102,0.1,data_quality,2020-05-01,2020-05-31,Q6a
Date of Birth (3.3),1,9,3,13,0.01,data_quality,2020-05-01,2020-05-31,Q6a
Race (3.4),3,11,0,14,0.01,data_quality,2020-05-01,2020-05-31,Q6a
Ethinicity (3.5),3,5,0,8,0.01,data_quality,2020-05-01,2020-05-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-05-01,2020-05-31,Q6a
Overall Score,0,0,0,118,0.11,data_quality,2020-05-01,2020-05-31,Q6a
Name (3.1),0,0,6,6,0.01,data_quality,2020-06-01,2020-06-30,Q6a
Social Security Number (3.2),34,41,31,106,0.1,data_quality,2020-06-01,2020-06-30,Q6a
Date of Birth (3.3),1,9,3,13,0.01,data_quality,2020-06-01,2020-06-30,Q6a
Race (3.4),2,11,0,13,0.01,data_quality,2020-06-01,2020-06-30,Q6a
Ethinicity (3.5),2,5,0,7,0.01,data_quality,2020-06-01,2020-06-30,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-06-01,2020-06-30,Q6a
Overall Score,0,0,0,120,0.11,data_quality,2020-06-01,2020-06-30,Q6a
Name (3.1),0,0,3,3,0,data_quality,2020-07-01,2020-07-31,Q6a
Social Security Number (3.2),26,38,29,93,0.09,data_quality,2020-07-01,2020-07-31,Q6a
Date of Birth (3.3),1,9,1,11,0.01,data_quality,2020-07-01,2020-07-31,Q6a
Race (3.4),1,11,0,12,0.01,data_quality,2020-07-01,2020-07-31,Q6a
Ethinicity (3.5),2,5,0,7,0.01,data_quality,2020-07-01,2020-07-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-07-01,2020-07-31,Q6a
Overall Score,0,0,0,106,0.1,data_quality,2020-07-01,2020-07-31,Q6a
Name (3.1),0,0,4,4,0,data_quality,2020-08-01,2020-08-31,Q6a
Social Security Number (3.2),28,40,28,96,0.09,data_quality,2020-08-01,2020-08-31,Q6a
Date of Birth (3.3),1,9,2,12,0.01,data_quality,2020-08-01,2020-08-31,Q6a
Race (3.4),1,12,0,13,0.01,data_quality,2020-08-01,2020-08-31,Q6a
Ethinicity (3.5),2,5,0,7,0.01,data_quality,2020-08-01,2020-08-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-08-01,2020-08-31,Q6a
Overall Score,0,0,0,110,0.11,data_quality,2020-08-01,2020-08-31,Q6a
Name (3.1),0,0,4,4,0,data_quality,2020-09-01,2020-09-30,Q6a
Social Security Number (3.2),34,43,36,113,0.1,data_quality,2020-09-01,2020-09-30,Q6a
Date of Birth (3.3),1,9,2,12,0.01,data_quality,2020-09-01,2020-09-30,Q6a
Race (3.4),2,12,0,14,0.01,data_quality,2020-09-01,2020-09-30,Q6a
Ethinicity (3.5),2,6,0,8,0.01,data_quality,2020-09-01,2020-09-30,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-09-01,2020-09-30,Q6a
Overall Score,0,0,0,126,0.12,data_quality,2020-09-01,2020-09-30,Q6a
Name (3.1),0,0,3,3,0,data_quality,2020-10-01,2020-10-31,Q6a
Social Security Number (3.2),31,43,31,105,0.09,data_quality,2020-10-01,2020-10-31,Q6a
Date of Birth (3.3),1,10,2,13,0.01,data_quality,2020-10-01,2020-10-31,Q6a
Race (3.4),1,11,0,12,0.01,data_quality,2020-10-01,2020-10-31,Q6a
Ethinicity (3.5),2,5,0,7,0.01,data_quality,2020-10-01,2020-10-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-10-01,2020-10-31,Q6a
Overall Score,0,0,0,117,0.1,data_quality,2020-10-01,2020-10-31,Q6a
Name (3.1),0,0,3,3,0,data_quality,2020-11-01,2020-11-30,Q6a
Social Security Number (3.2),33,48,31,112,0.09,data_quality,2020-11-01,2020-11-30,Q6a
Date of Birth (3.3),1,10,2,13,0.01,data_quality,2020-11-01,2020-11-30,Q6a
Race (3.4),1,11,0,12,0.01,data_quality,2020-11-01,2020-11-30,Q6a
Ethinicity (3.5),1,5,0,6,0,data_quality,2020-11-01,2020-11-30,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-11-01,2020-11-30,Q6a
Overall Score,0,0,0,124,0.1,data_quality,2020-11-01,2020-11-30,Q6a
Name (3.1),0,0,4,4,0,data_quality,2020-12-01,2020-12-31,Q6a
Social Security Number (3.2),34,56,28,118,0.1,data_quality,2020-12-01,2020-12-31,Q6a
Date of Birth (3.3),1,11,2,14,0.01,data_quality,2020-12-01,2020-12-31,Q6a
Race (3.4),1,11,0,12,0.01,data_quality,2020-12-01,2020-12-31,Q6a
Ethinicity (3.5),1,6,0,7,0.01,data_quality,2020-12-01,2020-12-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2020-12-01,2020-12-31,Q6a
Overall Score,0,0,0,132,0.11,data_quality,2020-12-01,2020-12-31,Q6a
Name (3.1),0,0,4,4,0,data_quality,2021-01-01,2021-01-31,Q6a
Social Security Number (3.2),37,49,23,109,0.09,data_quality,2021-01-01,2021-01-31,Q6a
Date of Birth (3.3),1,11,2,14,0.01,data_quality,2021-01-01,2021-01-31,Q6a
Race (3.4),1,11,0,12,0.01,data_quality,2021-01-01,2021-01-31,Q6a
Ethinicity (3.5),1,6,0,7,0.01,data_quality,2021-01-01,2021-01-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2021-01-01,2021-01-31,Q6a
Overall Score,0,0,0,123,0.1,data_quality,2021-01-01,2021-01-31,Q6a
Name (3.1),0,0,4,4,0,data_quality,2021-02-01,2021-02-28,Q6a
Social Security Number (3.2),37,48,24,109,0.09,data_quality,2021-02-01,2021-02-28,Q6a
Date of Birth (3.3),1,10,2,13,0.01,data_quality,2021-02-01,2021-02-28,Q6a
Race (3.4),1,11,0,12,0.01,data_quality,2021-02-01,2021-02-28,Q6a
Ethinicity (3.5),1,6,0,7,0.01,data_quality,2021-02-01,2021-02-28,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2021-02-01,2021-02-28,Q6a
Overall Score,0,0,0,122,0.1,data_quality,2021-02-01,2021-02-28,Q6a
Name (3.1),0,0,4,4,0,data_quality,2021-03-01,2021-03-31,Q6a
Social Security Number (3.2),32,56,31,119,0.1,data_quality,2021-03-01,2021-03-31,Q6a
Date of Birth (3.3),1,10,2,13,0.01,data_quality,2021-03-01,2021-03-31,Q6a
Race (3.4),1,11,0,12,0.01,data_quality,2021-03-01,2021-03-31,Q6a
Ethinicity (3.5),1,6,0,7,0.01,data_quality,2021-03-01,2021-03-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2021-03-01,2021-03-31,Q6a
Overall Score,0,0,0,132,0.11,data_quality,2021-03-01,2021-03-31,Q6a
Name (3.1),0,0,5,5,0,data_quality,2021-04-01,2021-04-30,Q6a
Social Security Number (3.2),31,53,21,105,0.09,data_quality,2021-04-01,2021-04-30,Q6a
Date of Birth (3.3),1,10,2,13,0.01,data_quality,2021-04-01,2021-04-30,Q6a
Race (3.4),1,12,0,13,0.01,data_quality,2021-04-01,2021-04-30,Q6a
Ethinicity (3.5),1,8,0,9,0.01,data_quality,2021-04-01,2021-04-30,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2021-04-01,2021-04-30,Q6a
Overall Score,0,0,0,120,0.1,data_quality,2021-04-01,2021-04-30,Q6a
Name (3.1),0,0,3,3,0,data_quality,2021-05-01,2021-05-31,Q6a
Social Security Number (3.2),37,60,21,118,0.11,data_quality,2021-05-01,2021-05-31,Q6a
Date of Birth (3.3),1,10,3,14,0.01,data_quality,2021-05-01,2021-05-31,Q6a
Race (3.4),2,12,0,14,0.01,data_quality,2021-05-01,2021-05-31,Q6a
Ethinicity (3.5),2,9,0,11,0.01,data_quality,2021-05-01,2021-05-31,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2021-05-01,2021-05-31,Q6a
Overall Score,0,0,0,132,0.12,data_quality,2021-05-01,2021-05-31,Q6a
Name (3.1),0,0,3,3,0,data_quality,2021-06-01,2021-06-30,Q6a
Social Security Number (3.2),30,68,24,122,0.11,data_quality,2021-06-01,2021-06-30,Q6a
Date of Birth (3.3),1,10,2,13,0.01,data_quality,2021-06-01,2021-06-30,Q6a
Race (3.4),1,12,0,13,0.01,data_quality,2021-06-01,2021-06-30,Q6a
Ethinicity (3.5),1,8,0,9,0.01,data_quality,2021-06-01,2021-06-30,Q6a
Gender (3.6),0,3,0,3,0,data_quality,2021-06-01,2021-06-30,Q6a
Overall Score,0,0,0,134,0.12,data_quality,2021-06-01,2021-06-30,Q6a
Name (3.1),0,0,4,4,0,data_quality,2021-07-01,2021-07-31,Q6a
Social Security Number (3.2),47,70,35,152,0.13,data_quality,2021-07-01,2021-07-31,Q6a
Date of Birth (3.3),1,11,2,14,0.01,data_quality,2021-07-01,2021-07-31,Q6a
Race (3.4),1,16,0,17,0.01,data_quality,2021-07-01,2021-07-31,Q6a
Ethinicity (3.5),1,9,0,10,0.01,data_quality,2021-07-01,2021-07-31,Q6a
Gender (3.6),0,4,0,4,0,data_quality,2021-07-01,2021-07-31,Q6a
Overall Score,0,0,0,169,0.14,data_quality,2021-07-01,2021-07-31,Q6a
Name (3.1),0,0,6,6,0,data_quality,2021-08-01,2021-08-31,Q6a
Social Security Number (3.2),64,87,31,182,0.13,data_quality,2021-08-01,2021-08-31,Q6a
Date of Birth (3.3),1,11,1,13,0.01,data_quality,2021-08-01,2021-08-31,Q6a
Race (3.4),1,14,0,15,0.01,data_quality,2021-08-01,2021-08-31,Q6a
Ethinicity (3.5),2,9,0,11,0.01,data_quality,2021-08-01,2021-08-31,Q6a
Gender (3.6),0,5,0,5,0,data_quality,2021-08-01,2021-08-31,Q6a
Overall Score,0,0,0,200,0.15,data_quality,2021-08-01,2021-08-31,Q6a
Name (3.1),0,0,5,5,0,data_quality,2021-09-01,2021-09-30,Q6a
Social Security Number (3.2),54,78,42,174,0.12,data_quality,2021-09-01,2021-09-30,Q6a
Date of Birth (3.3),1,11,0,12,0.01,data_quality,2021-09-01,2021-09-30,Q6a
Race (3.4),1,14,0,15,0.01,data_quality,2021-09-01,2021-09-30,Q6a
Ethinicity (3.5),1,8,0,9,0.01,data_quality,2021-09-01,2021-09-30,Q6a
Gender (3.6),0,4,0,4,0,data_quality,2021-09-01,2021-09-30,Q6a
Overall Score,0,0,0,187,0.13,data_quality,2021-09-01,2021-09-30,Q6a
Name (3.1),1,0,8,9,0.01,data_quality,2021-10-01,2021-10-31,Q6a
Social Security Number (3.2),65,76,45,186,0.13,data_quality,2021-10-01,2021-10-31,Q6a
Date of Birth (3.3),2,13,0,15,0.01,data_quality,2021-10-01,2021-10-31,Q6a
Race (3.4),1,15,0,16,0.01,data_quality,2021-10-01,2021-10-31,Q6a
Ethinicity (3.5),3,8,0,11,0.01,data_quality,2021-10-01,2021-10-31,Q6a
Gender (3.6),0,6,0,6,0,data_quality,2021-10-01,2021-10-31,Q6a
Overall Score,0,0,0,201,0.14,data_quality,2021-10-01,2021-10-31,Q6a
Name (3.1),1,0,9,10,0.01,data_quality,2021-11-01,2021-11-30,Q6a
Social Security Number (3.2),87,100,55,242,0.16,data_quality,2021-11-01,2021-11-30,Q6a
Date of Birth (3.3),2,12,0,14,0.01,data_quality,2021-11-01,2021-11-30,Q6a
Race (3.4),4,15,0,19,0.01,data_quality,2021-11-01,2021-11-30,Q6a
Ethinicity (3.5),7,10,0,17,0.01,data_quality,2021-11-01,2021-11-30,Q6a
Gender (3.6),0,6,0,6,0,data_quality,2021-11-01,2021-11-30,Q6a
Overall Score,0,0,0,261,0.17,data_quality,2021-11-01,2021-11-30,Q6a
Name (3.1),2,0,7,9,0.01,data_quality,2021-12-01,2021-12-31,Q6a
Social Security Number (3.2),88,118,59,265,0.16,data_quality,2021-12-01,2021-12-31,Q6a
Date of Birth (3.3),6,14,0,20,0.01,data_quality,2021-12-01,2021-12-31,Q6a
Race (3.4),7,18,0,25,0.01,data_quality,2021-12-01,2021-12-31,Q6a
Ethinicity (3.5),10,15,0,25,0.01,data_quality,2021-12-01,2021-12-31,Q6a
Gender (3.6),2,7,0,9,0.01,data_quality,2021-12-01,2021-12-31,Q6a
Overall Score,0,0,0,286,0.17,data_quality,2021-12-01,2021-12-31,Q6a
Name (3.1),3,0,8,11,0.01,data_quality,2022-01-01,2022-01-31,Q6a
Social Security Number (3.2),86,111,60,257,0.16,data_quality,2022-01-01,2022-01-31,Q6a
Date of Birth (3.3),5,14,0,19,0.01,data_quality,2022-01-01,2022-01-31,Q6a
Race (3.4),8,18,0,26,0.02,data_quality,2022-01-01,2022-01-31,Q6a
Ethinicity (3.5),8,15,0,23,0.01,data_quality,2022-01-01,2022-01-31,Q6a
Gender (3.6),1,7,0,8,0,data_quality,2022-01-01,2022-01-31,Q6a
Overall Score,0,0,0,278,0.17,data_quality,2022-01-01,2022-01-31,Q6a
Name (3.1),3,0,8,11,0.01,data_quality,2022-02-01,2022-02-28,Q6a
Social Security Number (3.2),86,105,73,264,0.15,data_quality,2022-02-01,2022-02-28,Q6a
Date of Birth (3.3),4,16,0,20,0.01,data_quality,2022-02-01,2022-02-28,Q6a
Race (3.4),5,19,0,24,0.01,data_quality,2022-02-01,2022-02-28,Q6a
Ethinicity (3.5),6,16,0,22,0.01,data_quality,2022-02-01,2022-02-28,Q6a
Gender (3.6),0,9,0,9,0.01,data_quality,2022-02-01,2022-02-28,Q6a
Overall Score,0,0,0,286,0.17,data_quality,2022-02-01,2022-02-28,Q6a
Name (3.1),3,0,11,14,0.01,data_quality,2022-03-01,2022-03-31,Q6a
Social Security Number (3.2),115,115,86,316,0.17,data_quality,2022-03-01,2022-03-31,Q6a
Date of Birth (3.3),4,17,0,21,0.01,data_quality,2022-03-01,2022-03-31,Q6a
Race (3.4),6,20,0,26,0.01,data_quality,2022-03-01,2022-03-31,Q6a
Ethinicity (3.5),9,17,0,26,0.01,data_quality,2022-03-01,2022-03-31,Q6a
Gender (3.6),0,9,0,9,0,data_quality,2022-03-01,2022-03-31,Q6a
Overall Score,0,0,0,339,0.18,data_quality,2022-03-01,2022-03-31,Q6a
Name (3.1),3,0,10,13,0.01,data_quality,2022-04-01,2022-04-30,Q6a
Social Security Number (3.2),129,110,89,328,0.18,data_quality,2022-04-01,2022-04-30,Q6a
Date of Birth (3.3),4,14,0,18,0.01,data_quality,2022-04-01,2022-04-30,Q6a
Race (3.4),6,18,0,24,0.01,data_quality,2022-04-01,2022-04-30,Q6a
Ethinicity (3.5),8,17,0,25,0.01,data_quality,2022-04-01,2022-04-30,Q6a
Gender (3.6),0,8,0,8,0,data_quality,2022-04-01,2022-04-30,Q6a
Overall Score,0,0,0,352,0.19,data_quality,2022-04-01,2022-04-30,Q6a
Name (3.1),3,0,10,13,0.01,data_quality,2022-05-01,2022-05-31,Q6a
Social Security Number (3.2),147,108,90,345,0.18,data_quality,2022-05-01,2022-05-31,Q6a
Date of Birth (3.3),5,14,0,19,0.01,data_quality,2022-05-01,2022-05-31,Q6a
