data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Income and Sources (4.2) at Exit,64,0.34,data_quality,2021-04-01,2021-04-30,Q6c
Destination (3.12),48,0.28,data_quality,2021-05-01,2021-05-31,Q6c
Income and Sources (4.2) at Start,159,0.18,data_quality,2021-05-01,2021-05-31,Q6c
Income and Sources (4.2) at Annual Assessment,292,0.82,data_quality,2021-05-01,2021-05-31,Q6c
Income and Sources (4.2) at Exit,44,0.31,data_quality,2021-05-01,2021-05-31,Q6c
Destination (3.12),34,0.14,data_quality,2021-06-01,2021-06-30,Q6c
Income and Sources (4.2) at Start,188,0.21,data_quality,2021-06-01,2021-06-30,Q6c
Income and Sources (4.2) at Annual Assessment,297,0.83,data_quality,2021-06-01,2021-06-30,Q6c
Income and Sources (4.2) at Exit,79,0.41,data_quality,2021-06-01,2021-06-30,Q6c
Destination (3.12),9,0.05,data_quality,2021-07-01,2021-07-31,Q6c
Income and Sources (4.2) at Start,195,0.21,data_quality,2021-07-01,2021-07-31,Q6c
Income and Sources (4.2) at Annual Assessment,309,0.82,data_quality,2021-07-01,2021-07-31,Q6c
Income and Sources (4.2) at Exit,72,0.5,data_quality,2021-07-01,2021-07-31,Q6c
Destination (3.12),19,0.06,data_quality,2021-08-01,2021-08-31,Q6c
Income and Sources (4.2) at Start,247,0.24,data_quality,2021-08-01,2021-08-31,Q6c
Income and Sources (4.2) at Annual Assessment,327,0.81,data_quality,2021-08-01,2021-08-31,Q6c
Income and Sources (4.2) at Exit,110,0.47,data_quality,2021-08-01,2021-08-31,Q6c
Destination (3.12),10,0.03,data_quality,2021-09-01,2021-09-30,Q6c
Income and Sources (4.2) at Start,270,0.25,data_quality,2021-09-01,2021-09-30,Q6c
Income and Sources (4.2) at Annual Assessment,341,0.81,data_quality,2021-09-01,2021-09-30,Q6c
Income and Sources (4.2) at Exit,107,0.49,data_quality,2021-09-01,2021-09-30,Q6c
Destination (3.12),13,0.05,data_quality,2021-10-01,2021-10-31,Q6c
Income and Sources (4.2) at Start,287,0.25,data_quality,2021-10-01,2021-10-31,Q6c
Income and Sources (4.2) at Annual Assessment,344,0.8,data_quality,2021-10-01,2021-10-31,Q6c
Income and Sources (4.2) at Exit,106,0.5,data_quality,2021-10-01,2021-10-31,Q6c
Destination (3.12),18,0.09,data_quality,2021-11-01,2021-11-30,Q6c
Income and Sources (4.2) at Start,279,0.23,data_quality,2021-11-01,2021-11-30,Q6c
Income and Sources (4.2) at Annual Assessment,349,0.79,data_quality,2021-11-01,2021-11-30,Q6c
Income and Sources (4.2) at Exit,75,0.44,data_quality,2021-11-01,2021-11-30,Q6c
Destination (3.12),24,0.09,data_quality,2021-12-01,2021-12-31,Q6c
Income and Sources (4.2) at Start,296,0.23,data_quality,2021-12-01,2021-12-31,Q6c
Income and Sources (4.2) at Annual Assessment,348,0.79,data_quality,2021-12-01,2021-12-31,Q6c
Income and Sources (4.2) at Exit,74,0.36,data_quality,2021-12-01,2021-12-31,Q6c
Destination (3.12),37,0.17,data_quality,2022-01-01,2022-01-31,Q6c
Income and Sources (4.2) at Start,287,0.22,data_quality,2022-01-01,2022-01-31,Q6c
Income and Sources (4.2) at Annual Assessment,344,0.77,data_quality,2022-01-01,2022-01-31,Q6c
Income and Sources (4.2) at Exit,66,0.35,data_quality,2022-01-01,2022-01-31,Q6c
Destination (3.12),5,0.02,data_quality,2022-02-01,2022-02-28,Q6c
Income and Sources (4.2) at Start,297,0.22,data_quality,2022-02-01,2022-02-28,Q6c
Income and Sources (4.2) at Annual Assessment,355,0.77,data_quality,2022-02-01,2022-02-28,Q6c
Income and Sources (4.2) at Exit,66,0.43,data_quality,2022-02-01,2022-02-28,Q6c
Destination (3.12),19,0.06,data_quality,2022-03-01,2022-03-31,Q6c
Income and Sources (4.2) at Start,361,0.25,data_quality,2022-03-01,2022-03-31,Q6c
Income and Sources (4.2) at Annual Assessment,358,0.77,data_quality,2022-03-01,2022-03-31,Q6c
Income and Sources (4.2) at Exit,97,0.45,data_quality,2022-03-01,2022-03-31,Q6c
Destination (3.12),22,0.07,data_quality,2022-04-01,2022-04-30,Q6c
Income and Sources (4.2) at Start,359,0.25,data_quality,2022-04-01,2022-04-30,Q6c
Income and Sources (4.2) at Annual Assessment,360,0.77,data_quality,2022-04-01,2022-04-30,Q6c
Income and Sources (4.2) at Exit,89,0.39,data_quality,2022-04-01,2022-04-30,Q6c
Destination (3.12),13,0.05,data_quality,2022-05-01,2022-05-31,Q6c
Income and Sources (4.2) at Start,382,0.27,data_quality,2022-05-01,2022-05-31,Q6c
Income and Sources (4.2) at Annual Assessment,368,0.77,data_quality,2022-05-01,2022-05-31,Q6c
Income and Sources (4.2) at Exit,102,0.49,data_quality,2022-05-01,2022-05-31,Q6c
Destination (3.12),15,0.05,data_quality,2022-06-01,2022-06-30,Q6c
Income and Sources (4.2) at Start,393,0.26,data_quality,2022-06-01,2022-06-30,Q6c
Income and Sources (4.2) at Annual Assessment,374,0.78,data_quality,2022-06-01,2022-06-30,Q6c
Income and Sources (4.2) at Exit,96,0.44,data_quality,2022-06-01,2022-06-30,Q6c
Destination (3.12),3,0.01,data_quality,2022-07-01,2022-07-31,Q6c
Income and Sources (4.2) at Start,385,0.27,data_quality,2022-07-01,2022-07-31,Q6c
Income and Sources (4.2) at Annual Assessment,424,0.79,data_quality,2022-07-01,2022-07-31,Q6c
Income and Sources (4.2) at Exit,83,0.52,data_quality,2022-07-01,2022-07-31,Q6c
Destination (3.12),0,0,data_quality,2022-08-01,2022-08-31,Q6c
Income and Sources (4.2) at Start,438,0.29,data_quality,2022-08-01,2022-08-31,Q6c
Income and Sources (4.2) at Annual Assessment,481,0.8,data_quality,2022-08-01,2022-08-31,Q6c
Income and Sources (4.2) at Exit,126,0.75,data_quality,2022-08-01,2022-08-31,Q6c
