income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Unduplicated Total Adults,30,28,58,NA,1,20,21,NA,0,0,0,NA,adults,2016-04-01,2016-04-30,Q19b
Earned Income,4,12,16,0.25,0,19,19,0,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
Supplemental Security Income (SSI),8,0,8,1,0,1,1,0,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
Social Security Disability Insurance (SSDI),5,1,6,0.83,1,0,1,1,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0,0,1,1,0,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
Retirement Income from Social Security,1,0,1,1,0,0,0,0,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
Pension or retirement income from a former job,0,0,0,0,1,0,1,1,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
Other source,0,0,0,0,0,1,1,0,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
No Sources,1,9,10,0.1,2,8,10,0.2,0,0,0,0,adults,2016-05-01,2016-05-31,Q19b
Unduplicated Total Adults,14,22,36,NA,3,28,31,NA,0,0,0,NA,adults,2016-05-01,2016-05-31,Q19b
Earned Income,6,8,14,0.43,4,12,16,0.25,0,1,1,0,adults,2016-06-01,2016-06-30,Q19b
Supplemental Security Income (SSI),4,1,5,0.8,1,0,1,1,0,0,0,0,adults,2016-06-01,2016-06-30,Q19b
Social Security Disability Insurance (SSDI),5,0,5,1,1,1,2,0.5,0,0,0,0,adults,2016-06-01,2016-06-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-06-01,2016-06-30,Q19b
Private Disability Insurance,1,0,1,1,0,0,0,0,0,0,0,0,adults,2016-06-01,2016-06-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-06-01,2016-06-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2016-06-01,2016-06-30,Q19b
Retirement Income from Social Security,1,1,2,0.5,1,0,1,1,0,0,0,0,adults,2016-06-01,2016-06-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-06-01,2016-06-30,Q19b
Child Support,0,0,0,0,1,5,6,0.17,0,0,0,0,adults,2016-06-01,2016-06-30,Q19b
Other source,2,0,2,1,0,3,3,0,0,0,0,0,adults,2016-06-01,2016-06-30,Q19b
No Sources,2,8,10,0.2,1,4,5,0.2,0,1,1,0,adults,2016-06-01,2016-06-30,Q19b
Unduplicated Total Adults,16,18,34,NA,8,20,28,NA,0,2,2,NA,adults,2016-06-01,2016-06-30,Q19b
Earned Income,1,12,13,0.08,0,11,11,0,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
Supplemental Security Income (SSI),2,1,3,0.67,3,0,3,1,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
Social Security Disability Insurance (SSDI),2,0,2,1,0,0,0,0,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,1,2,0.5,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
Child Support,0,0,0,0,0,3,3,0,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
Other source,0,0,0,0,1,1,2,0.5,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
No Sources,3,5,8,0.38,0,7,7,0,0,0,0,0,adults,2016-07-01,2016-07-31,Q19b
Unduplicated Total Adults,9,18,27,NA,5,20,25,NA,0,0,0,NA,adults,2016-07-01,2016-07-31,Q19b
Earned Income,5,19,24,0.21,3,13,16,0.19,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
Supplemental Security Income (SSI),8,0,8,1,2,2,4,0.5,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
Social Security Disability Insurance (SSDI),9,2,11,0.82,3,0,3,1,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,0,1,1,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
Pension or retirement income from a former job,1,1,2,0.5,0,1,1,0,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
Child Support,0,0,0,0,3,3,6,0.5,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
Other source,0,0,0,0,0,1,1,0,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
No Sources,8,8,16,0.5,1,16,17,0.06,0,0,0,0,adults,2016-08-01,2016-08-31,Q19b
Unduplicated Total Adults,27,29,56,NA,8,32,40,NA,0,0,0,NA,adults,2016-08-01,2016-08-31,Q19b
Earned Income,8,11,19,0.42,5,34,39,0.13,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
Supplemental Security Income (SSI),12,2,14,0.86,3,1,4,0.75,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
Social Security Disability Insurance (SSDI),8,0,8,1,1,1,2,0.5,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
VA Service-Connected Disability Compensation,2,0,2,1,0,0,0,0,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0,0,1,1,0,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
Retirement Income from Social Security,1,3,4,0.25,0,0,0,0,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
Child Support,0,1,1,0,1,6,7,0.14,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
Other source,2,1,3,0.67,1,1,2,0.5,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
No Sources,7,9,16,0.44,3,15,18,0.17,0,0,0,0,adults,2016-09-01,2016-09-30,Q19b
Unduplicated Total Adults,33,26,59,NA,12,51,63,NA,0,0,0,NA,adults,2016-09-01,2016-09-30,Q19b
Earned Income,2,9,11,0.18,2,17,19,0.11,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
Supplemental Security Income (SSI),7,1,8,0.88,2,1,3,0.67,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
Social Security Disability Insurance (SSDI),4,1,5,0.8,2,1,3,0.67,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,2,3,0.33,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
Retirement Income from Social Security,0,3,3,0,0,0,0,0,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
Child Support,0,0,0,0,1,4,5,0.2,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
Other source,1,0,1,1,0,1,1,0,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
No Sources,3,14,17,0.18,3,11,14,0.21,0,0,0,0,adults,2016-10-01,2016-10-31,Q19b
Unduplicated Total Adults,13,27,40,NA,8,32,40,NA,0,0,0,NA,adults,2016-10-01,2016-10-31,Q19b
Earned Income,1,15,16,0.06,1,19,20,0.05,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
Supplemental Security Income (SSI),12,1,13,0.92,0,1,1,0,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
Social Security Disability Insurance (SSDI),5,0,5,1,2,0,2,1,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
Retirement Income from Social Security,0,3,3,0,1,1,2,0.5,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
Child Support,0,0,0,0,0,3,3,0,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
Other source,0,1,1,0,0,0,0,0,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
No Sources,8,17,25,0.32,0,7,7,0,0,0,0,0,adults,2016-11-01,2016-11-30,Q19b
Unduplicated Total Adults,23,36,59,NA,3,28,31,NA,0,0,0,NA,adults,2016-11-01,2016-11-30,Q19b
Earned Income,2,16,18,0.11,3,21,24,0.13,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
Supplemental Security Income (SSI),3,3,6,0.5,2,2,4,0.5,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
Social Security Disability Insurance (SSDI),6,2,8,0.75,2,0,2,1,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
Temporary Assistance for Needy Families (TANF),2,0,2,1,0,3,3,0,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
Retirement Income from Social Security,0,1,1,0,0,0,0,0,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
Child Support,1,0,1,1,4,3,7,0.57,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
Other source,1,2,3,0.33,0,1,1,0,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
No Sources,11,30,41,0.27,4,6,10,0.4,0,0,0,0,adults,2016-12-01,2016-12-31,Q19b
Unduplicated Total Adults,20,50,70,NA,13,32,45,NA,0,0,0,NA,adults,2016-12-01,2016-12-31,Q19b
Earned Income,1,18,19,0.05,6,26,32,0.19,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
Supplemental Security Income (SSI),8,1,9,0.89,4,2,6,0.67,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
Social Security Disability Insurance (SSDI),7,1,8,0.88,3,1,4,0.75,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,1,1,2,0.5,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
Retirement Income from Social Security,0,1,1,0,0,0,0,0,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
Child Support,1,0,1,1,3,6,9,0.33,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
Other source,3,1,4,0.75,1,4,5,0.2,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
No Sources,11,27,38,0.29,4,12,16,0.25,0,0,0,0,adults,2017-01-01,2017-01-31,Q19b
Unduplicated Total Adults,27,47,74,NA,15,43,58,NA,0,0,0,NA,adults,2017-01-01,2017-01-31,Q19b
Earned Income,3,10,13,0.23,1,20,21,0.05,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
Supplemental Security Income (SSI),10,3,13,0.77,2,2,4,0.5,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
Social Security Disability Insurance (SSDI),4,1,5,0.8,1,0,1,1,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
VA Service-Connected Disability Compensation,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
Private Disability Insurance,0,1,1,0,0,0,0,0,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0,0,3,3,0,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
Retirement Income from Social Security,0,2,2,0,0,0,0,0,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
Child Support,1,0,1,1,0,5,5,0,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
Other source,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
No Sources,11,16,27,0.41,1,13,14,0.07,0,0,0,0,adults,2017-02-01,2017-02-28,Q19b
Unduplicated Total Adults,28,32,60,NA,4,34,38,NA,0,0,0,NA,adults,2017-02-01,2017-02-28,Q19b
Earned Income,12,13,25,0.48,0,14,14,0,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
Supplemental Security Income (SSI),16,1,17,0.94,1,1,2,0.5,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
Social Security Disability Insurance (SSDI),13,0,13,1,1,0,1,1,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
VA Service-Connected Disability Compensation,0,1,1,0,0,0,0,0,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,0,2,2,0,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
Other source,1,1,2,0.5,1,0,1,1,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
No Sources,16,22,38,0.42,0,6,6,0,0,0,0,0,adults,2017-03-01,2017-03-31,Q19b
Unduplicated Total Adults,48,36,84,NA,3,22,25,NA,0,0,0,NA,adults,2017-03-01,2017-03-31,Q19b
Earned Income,3,16,19,0.16,5,6,11,0.45,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
Supplemental Security Income (SSI),7,2,9,0.78,1,0,1,1,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
Social Security Disability Insurance (SSDI),7,1,8,0.88,0,0,0,0,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,2,2,4,0.5,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
Retirement Income from Social Security,0,1,1,0,0,0,0,0,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
Child Support,0,1,1,0,0,1,1,0,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
Other source,0,3,3,0,0,0,0,0,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
No Sources,13,24,37,0.35,2,6,8,0.25,0,0,0,0,adults,2017-04-01,2017-04-30,Q19b
Unduplicated Total Adults,29,45,74,NA,8,13,21,NA,0,0,0,NA,adults,2017-04-01,2017-04-30,Q19b
Earned Income,0,4,4,0,2,2,4,0.5,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
Supplemental Security Income (SSI),3,0,3,1,3,0,3,1,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
Social Security Disability Insurance (SSDI),5,0,5,1,2,0,2,1,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
Retirement Income from Social Security,1,2,3,0.33,0,0,0,0,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
Child Support,0,0,0,0,1,1,2,0.5,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
Other source,0,1,1,0,1,0,1,1,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
No Sources,1,11,12,0.08,0,4,4,0,0,0,0,0,adults,2017-05-01,2017-05-31,Q19b
Unduplicated Total Adults,10,18,28,NA,5,8,13,NA,0,0,0,NA,adults,2017-05-01,2017-05-31,Q19b
Earned Income,3,3,6,0.5,1,5,6,0.17,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
Supplemental Security Income (SSI),5,0,5,1,2,1,3,0.67,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
Social Security Disability Insurance (SSDI),4,0,4,1,0,0,0,0,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
Other source,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
No Sources,1,7,8,0.13,1,2,3,0.33,0,0,0,0,adults,2017-06-01,2017-06-30,Q19b
Unduplicated Total Adults,9,10,19,NA,4,8,12,NA,0,0,0,NA,adults,2017-06-01,2017-06-30,Q19b
Earned Income,3,5,8,0.38,0,11,11,0,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
Supplemental Security Income (SSI),6,2,8,0.75,1,1,2,0.5,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
Social Security Disability Insurance (SSDI),6,2,8,0.75,0,0,0,0,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,2,3,0.33,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
Retirement Income from Social Security,0,1,1,0,0,0,0,0,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
Child Support,0,0,0,0,1,0,1,1,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
Other source,1,0,1,1,0,0,0,0,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
No Sources,3,4,7,0.43,3,5,8,0.38,0,0,0,0,adults,2017-07-01,2017-07-31,Q19b
Unduplicated Total Adults,15,12,27,NA,5,17,22,NA,0,0,0,NA,adults,2017-07-01,2017-07-31,Q19b
Earned Income,4,11,15,0.27,4,19,23,0.17,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
Supplemental Security Income (SSI),6,0,6,1,2,1,3,0.67,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
Social Security Disability Insurance (SSDI),6,1,7,0.86,2,0,2,1,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,2,3,5,0.4,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
Retirement Income from Social Security,2,0,2,1,0,1,1,0,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
Child Support,0,0,0,0,3,1,4,0.75,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
Other source,0,0,0,0,2,0,2,1,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
No Sources,6,9,15,0.4,4,9,13,0.31,0,0,0,0,adults,2017-08-01,2017-08-31,Q19b
Unduplicated Total Adults,21,20,41,NA,14,31,45,NA,0,0,0,NA,adults,2017-08-01,2017-08-31,Q19b
Earned Income,17,12,29,0.59,3,16,19,0.16,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
Supplemental Security Income (SSI),11,0,11,1,1,0,1,1,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
Social Security Disability Insurance (SSDI),10,0,10,1,2,0,2,1,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,1,2,0.5,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
Child Support,0,0,0,0,1,5,6,0.17,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
Other source,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
No Sources,2,15,17,0.12,1,9,10,0.1,0,0,0,0,adults,2017-09-01,2017-09-30,Q19b
Unduplicated Total Adults,37,27,64,NA,6,28,34,NA,0,0,0,NA,adults,2017-09-01,2017-09-30,Q19b
Earned Income,1,6,7,0.14,4,10,14,0.29,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
Supplemental Security Income (SSI),3,1,4,0.75,3,0,3,1,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
Social Security Disability Insurance (SSDI),4,1,5,0.8,3,0,3,1,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,1,0,1,1,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,3,0,3,1,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
Retirement Income from Social Security,0,1,1,0,0,0,0,0,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
Child Support,0,0,0,0,3,1,4,0.75,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
Other source,1,0,1,1,0,1,1,0,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
No Sources,9,10,19,0.47,0,1,1,0,0,0,0,0,adults,2017-10-01,2017-10-31,Q19b
Unduplicated Total Adults,15,19,34,NA,10,12,22,NA,0,0,0,NA,adults,2017-10-01,2017-10-31,Q19b
Earned Income,7,8,15,0.47,1,11,12,0.08,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
