number_of_persons_contacted,all_persons_contacted,first_contact_not_staying_on_the_streets_es_or_sh,first_contact_was_staying_on_the_streets_es_or_sh,first_contact_worker_unable_to_determine,population,start_date,end_date,question
6-9 Times,4,0,3,0,CE,2021-02-01,2021-02-28,Q9a
10+ Times,0,0,0,0,CE,2021-02-01,2021-02-28,Q9a
Total Persons Contacted,62,0,16,0,CE,2021-02-01,2021-02-28,Q9a
Once,37,0,9,0,CE,2021-03-01,2021-03-31,Q9a
2-5 Times,27,0,5,0,CE,2021-03-01,2021-03-31,Q9a
6-9 Times,5,0,1,0,CE,2021-03-01,2021-03-31,Q9a
10+ Times,0,0,0,0,CE,2021-03-01,2021-03-31,Q9a
Total Persons Contacted,69,0,15,0,CE,2021-03-01,2021-03-31,Q9a
Once,36,0,6,0,CE,2021-04-01,2021-04-30,Q9a
2-5 Times,26,0,3,0,CE,2021-04-01,2021-04-30,Q9a
6-9 Times,9,0,2,0,CE,2021-04-01,2021-04-30,Q9a
10+ Times,0,0,0,0,CE,2021-04-01,2021-04-30,Q9a
Total Persons Contacted,71,0,11,0,CE,2021-04-01,2021-04-30,Q9a
Once,36,0,8,0,CE,2021-05-01,2021-05-31,Q9a
2-5 Times,29,0,4,0,CE,2021-05-01,2021-05-31,Q9a
6-9 Times,8,0,2,0,CE,2021-05-01,2021-05-31,Q9a
10+ Times,0,0,0,0,CE,2021-05-01,2021-05-31,Q9a
Total Persons Contacted,73,0,14,0,CE,2021-05-01,2021-05-31,Q9a
Once,37,0,8,0,CE,2021-06-01,2021-06-30,Q9a
2-5 Times,28,0,8,0,CE,2021-06-01,2021-06-30,Q9a
6-9 Times,11,0,4,0,CE,2021-06-01,2021-06-30,Q9a
10+ Times,0,0,0,0,CE,2021-06-01,2021-06-30,Q9a
Total Persons Contacted,76,0,20,0,CE,2021-06-01,2021-06-30,Q9a
Once,62,0,10,0,CE,2021-07-01,2021-07-31,Q9a
2-5 Times,26,0,9,0,CE,2021-07-01,2021-07-31,Q9a
6-9 Times,7,0,2,0,CE,2021-07-01,2021-07-31,Q9a
10+ Times,0,0,0,0,CE,2021-07-01,2021-07-31,Q9a
Total Persons Contacted,95,0,21,0,CE,2021-07-01,2021-07-31,Q9a
Once,57,0,7,0,CE,2021-08-01,2021-08-31,Q9a
2-5 Times,38,0,8,0,CE,2021-08-01,2021-08-31,Q9a
6-9 Times,5,0,1,0,CE,2021-08-01,2021-08-31,Q9a
10+ Times,0,0,0,0,CE,2021-08-01,2021-08-31,Q9a
Total Persons Contacted,100,0,16,0,CE,2021-08-01,2021-08-31,Q9a
Once,46,0,4,0,CE,2021-09-01,2021-09-30,Q9a
2-5 Times,34,0,5,0,CE,2021-09-01,2021-09-30,Q9a
6-9 Times,5,0,2,0,CE,2021-09-01,2021-09-30,Q9a
10+ Times,1,0,0,0,CE,2021-09-01,2021-09-30,Q9a
Total Persons Contacted,86,0,11,0,CE,2021-09-01,2021-09-30,Q9a
Once,49,0,4,0,CE,2021-10-01,2021-10-31,Q9a
2-5 Times,35,0,6,0,CE,2021-10-01,2021-10-31,Q9a
6-9 Times,5,0,2,0,CE,2021-10-01,2021-10-31,Q9a
10+ Times,1,0,0,0,CE,2021-10-01,2021-10-31,Q9a
Total Persons Contacted,90,0,12,0,CE,2021-10-01,2021-10-31,Q9a
Once,55,0,4,0,CE,2021-11-01,2021-11-30,Q9a
2-5 Times,40,0,7,0,CE,2021-11-01,2021-11-30,Q9a
6-9 Times,3,0,1,0,CE,2021-11-01,2021-11-30,Q9a
10+ Times,1,0,0,0,CE,2021-11-01,2021-11-30,Q9a
Total Persons Contacted,99,0,12,0,CE,2021-11-01,2021-11-30,Q9a
Once,59,0,6,0,CE,2021-12-01,2021-12-31,Q9a
2-5 Times,38,0,5,0,CE,2021-12-01,2021-12-31,Q9a
6-9 Times,3,0,1,0,CE,2021-12-01,2021-12-31,Q9a
10+ Times,1,0,0,0,CE,2021-12-01,2021-12-31,Q9a
Total Persons Contacted,101,0,12,0,CE,2021-12-01,2021-12-31,Q9a
Once,61,0,6,0,CE,2022-01-01,2022-01-31,Q9a
2-5 Times,41,0,8,0,CE,2022-01-01,2022-01-31,Q9a
6-9 Times,4,0,2,0,CE,2022-01-01,2022-01-31,Q9a
10+ Times,1,0,0,0,CE,2022-01-01,2022-01-31,Q9a
Total Persons Contacted,107,0,16,0,CE,2022-01-01,2022-01-31,Q9a
Once,62,0,7,0,CE,2022-02-01,2022-02-28,Q9a
2-5 Times,39,0,8,0,CE,2022-02-01,2022-02-28,Q9a
6-9 Times,4,0,2,0,CE,2022-02-01,2022-02-28,Q9a
10+ Times,1,0,0,0,CE,2022-02-01,2022-02-28,Q9a
Total Persons Contacted,106,0,17,0,CE,2022-02-01,2022-02-28,Q9a
Once,62,0,10,0,CE,2022-03-01,2022-03-31,Q9a
2-5 Times,38,0,8,0,CE,2022-03-01,2022-03-31,Q9a
6-9 Times,3,0,2,0,CE,2022-03-01,2022-03-31,Q9a
10+ Times,1,0,0,0,CE,2022-03-01,2022-03-31,Q9a
Total Persons Contacted,104,0,20,0,CE,2022-03-01,2022-03-31,Q9a
Once,67,0,13,0,CE,2022-04-01,2022-04-30,Q9a
2-5 Times,39,0,8,0,CE,2022-04-01,2022-04-30,Q9a
6-9 Times,3,0,2,0,CE,2022-04-01,2022-04-30,Q9a
10+ Times,1,0,0,0,CE,2022-04-01,2022-04-30,Q9a
Total Persons Contacted,110,0,23,0,CE,2022-04-01,2022-04-30,Q9a
Once,71,0,14,0,CE,2022-05-01,2022-05-31,Q9a
2-5 Times,41,0,9,0,CE,2022-05-01,2022-05-31,Q9a
6-9 Times,2,0,2,0,CE,2022-05-01,2022-05-31,Q9a
10+ Times,1,0,0,0,CE,2022-05-01,2022-05-31,Q9a
Total Persons Contacted,115,0,25,0,CE,2022-05-01,2022-05-31,Q9a
Once,74,0,12,0,CE,2022-06-01,2022-06-30,Q9a
2-5 Times,38,0,9,0,CE,2022-06-01,2022-06-30,Q9a
6-9 Times,2,0,2,0,CE,2022-06-01,2022-06-30,Q9a
10+ Times,1,0,0,0,CE,2022-06-01,2022-06-30,Q9a
Total Persons Contacted,115,0,23,0,CE,2022-06-01,2022-06-30,Q9a
Once,81,0,15,0,CE,2022-07-01,2022-07-31,Q9a
2-5 Times,39,0,8,0,CE,2022-07-01,2022-07-31,Q9a
6-9 Times,2,0,2,0,CE,2022-07-01,2022-07-31,Q9a
10+ Times,1,0,0,0,CE,2022-07-01,2022-07-31,Q9a
Total Persons Contacted,123,0,25,0,CE,2022-07-01,2022-07-31,Q9a
Once,80,0,14,0,CE,2022-08-01,2022-08-31,Q9a
2-5 Times,39,0,8,0,CE,2022-08-01,2022-08-31,Q9a
6-9 Times,3,0,2,0,CE,2022-08-01,2022-08-31,Q9a
10+ Times,1,0,0,0,CE,2022-08-01,2022-08-31,Q9a
Total Persons Contacted,123,0,24,0,CE,2022-08-01,2022-08-31,Q9a
